source,observation_unit,family,circuit_variant,num_qubits,logical_depth,logical_total_gate_count,logical_two_qubit_gate_count,precision,workspace_memory_limit,optimizer_cost_function,optimizer_samples,optimizer_seed,optimizer_gpu_arch,phase1_flop_count,flop_count_after_slicing,slicing_overhead,runtime_est_s,effective_flops_est,largest_intermediate_elements,num_slices,num_sliced_modes,network_num_slices,path_optimization_s,plan_only_wall_s
cutensornet,one circuit-derived tensor-network plan; no contraction executed,qft,full,40,79,820,780,complex64,90%,TIME_TUNED,32,137,12,2.289008766924128e+16,5985940397657.0,,0.4170615101634299,8341230203268.599,536870912.0,2,1,2,8.998895919999995,9.305090058000133
cutensornet,one circuit-derived tensor-network plan; no contraction executed,qft,full,40,79,820,780,complex64,90%,TIME_TUNED,32,137,12,310279062231296.0,6276564990689.0,,0.41511118489055004,8302223697811.001,536870912.0,2,1,2,6.546550330000173,6.586624348001351
cutensornet,one circuit-derived tensor-network plan; no contraction executed,qft,full,40,79,820,780,complex64,90%,TIME_TUNED,32,137,12,2.3126167591662633e+18,7742459546035.0,,0.6872656491851499,13745312983702.998,536870912.0,4,2,4,6.1493635090009775,6.185484118999739
