target_name,split,model,log_mae,log_rmse,log_r2,seconds_mae,seconds_rmse,seconds_r2,folds
cpu_fp64,family_held_out,hgb,0.9594394697106843,1.1152366593234033,-1.3399876596056166,5.5802294785594455,7.654694993877624,-2.5753485413429624,4
cpu_fp64,family_held_out,median_log,0.9045394804934811,1.0731433065893565,-0.9770639751230026,5.332341201500489,7.5256838235728205,-1.51633535320863,4
cpu_fp64,family_held_out,ridge,0.5410338953898408,0.5801516191215773,0.3698878981202091,5.978210244241831,7.80992068149956,-1.4927827532534685,4
cpu_fp64,random_5fold,hgb,0.9677703804950971,0.9956235206303624,-12.765306205789049,5.45731613616962,6.4869745939901104,-13.272930744011086,5
cpu_fp64,random_5fold,median_log,1.0245976699539778,1.0594623951817184,-17.40246675194345,5.53426530150313,6.698042599684529,-10.72766553704081,5
cpu_fp64,random_5fold,ridge,0.24970258979070162,0.2983549528312402,-1.9663444455066894,1.8122967954441165,2.4302847755905903,-3.2097172318316987,5
cpu_fp64,width_held_out,hgb,1.1886181481382005,1.2994096159792081,-11.634532353605573,6.479705264301188,7.7071061034388935,-48.5078984227444,3
cpu_fp64,width_held_out,median_log,1.2497343163399586,1.3372372468935254,-10.317422651615358,6.455608687362006,7.700655348795922,-34.11759102941803,3
cpu_fp64,width_held_out,ridge,0.29579203240765356,0.34316285420637643,-0.3852750558546538,1.2401448294567712,1.340024538006042,0.6694562267954184,3
gpu_fp32,family_held_out,hgb,0.03182300950520303,0.038073226846002214,-0.08131900021076571,0.033038185232106804,0.04000548377161565,-0.07887385495759591,4
gpu_fp32,family_held_out,median_log,0.022700853167855403,0.042366564618040524,-0.31730296471135766,0.023782730375387473,0.04451955645860835,-0.31766167873712203,4
gpu_fp32,family_held_out,ridge,0.011998703147350116,0.014151258239993424,0.8345651392462546,0.010103751189191625,0.013290123217553615,0.8761314490402987,4
gpu_fp32,random_5fold,hgb,0.03484589640687692,0.040650825394468425,-5482.510802257356,0.03618525253723273,0.04257791192397853,-5639.646361519737,5
gpu_fp32,random_5fold,median_log,0.024828330197807936,0.03638106679069296,-79.1699555710755,0.025983912450737983,0.038240634603494264,-79.4238117422286,5
gpu_fp32,random_5fold,ridge,0.017902932906599243,0.0201535908117628,-997.5384958838971,0.016089367393803646,0.018845159288885416,-6.763939763925687,5
gpu_fp32,width_held_out,hgb,0.042430679340270706,0.043498167141514,-4728.072375091743,0.04385904705345629,0.0450760060735402,-4872.7299043771845,4
gpu_fp32,width_held_out,median_log,0.02461146778780694,0.025732529324206943,-89.11915343763178,0.025699031403548192,0.0269690020867318,-89.23909136018443,4
gpu_fp32,width_held_out,ridge,0.016565164024235968,0.02032190026454201,-798.8150040235197,0.013693839705332335,0.017816037003160427,-149.63500263274685,4
gpu_fp64,family_held_out,hgb,0.22869372323323475,0.27256509048349903,-0.06663671106590896,0.30472175191976253,0.39728097836702586,-0.06272157133894934,4
gpu_fp64,family_held_out,median_log,0.16838291750663448,0.3053212525313757,-0.321221696799572,0.23735569749976548,0.4422944906676267,-0.3233314703031461,4
gpu_fp64,family_held_out,ridge,0.07815745994982273,0.09320776906743945,0.8663981670707194,0.09594328069018035,0.14040365698548982,0.8499837029158273,4
gpu_fp64,random_5fold,hgb,0.2510194179570974,0.29253503338969217,-21002.228849701554,0.33471765403687864,0.414922053696084,-25952.421535619786,5
gpu_fp64,random_5fold,median_log,0.1868498536206554,0.26574352575793253,-596.9446704704683,0.2605651404329668,0.3840205013479724,-618.0674879226625,5
gpu_fp64,random_5fold,ridge,0.11644998108808657,0.13267220169437705,-2995.557531116838,0.15731373848664607,0.19933365183845533,-2.3683539585174267,5
gpu_fp64,width_held_out,hgb,0.3049249643109797,0.3112297626259538,-168088.37990825728,0.39295141646868004,0.40859079223290007,-211569.27284181537,4
gpu_fp64,width_held_out,median_log,0.19043643482765024,0.1971296252667383,-7010.946805640178,0.2599689243429348,0.27595694704873547,-7340.980902221266,4
gpu_fp64,width_held_out,ridge,0.10222529414437173,0.11211332444597165,-34523.47844873639,0.11427638497189635,0.13044179137568274,-692.6269834807082,4
