target_name,split,model,log_mae,log_rmse,log_r2,seconds_mae,seconds_rmse,seconds_r2,folds
cpu_fp64,family_held_out,hgb,0.9554666309357998,1.1118378745797806,-1.3392376525812488,5.432132320473608,7.512351337752307,-2.3816331356189293,4
cpu_fp64,family_held_out,median_log,0.9113937556955313,1.0786439647978612,-1.0314133222396844,5.23883679441648,7.4281867858715955,-1.5596171770476064,4
cpu_fp64,family_held_out,ridge,0.5742862047816253,0.6070790352092923,0.3132848256479215,5.451588194798073,6.969713468463992,-1.3142153236902039,4
cpu_fp64,random_5fold,hgb,0.9699970083092374,1.0007513131026164,-14.394462758668217,5.305036146936447,6.360457036323681,-13.871159387790467,5
cpu_fp64,random_5fold,median_log,1.04995739053881,1.0871164973208807,-20.76874011123725,5.43456708332543,6.595589008393136,-11.867916757561883,5
cpu_fp64,random_5fold,ridge,0.296281914708396,0.34142996651550683,-2.2443657592755795,2.001334619191248,2.701707545234372,-4.0371421320973635,5
cpu_fp64,width_held_out,hgb,1.1932304639009255,1.3017258252796018,-13.918319435932583,6.329530599018116,7.562739203380822,-59.9125605126707,3
cpu_fp64,width_held_out,median_log,1.2429676575286945,1.324973529780712,-11.797734507243296,6.257120881321074,7.499822963168694,-39.33840832109267,3
cpu_fp64,width_held_out,ridge,0.31740099719447656,0.38378813939537587,-1.1484623988971012,1.373159610627401,1.7835107248877717,0.5109013115867791,3
gpu_fp32,family_held_out,hgb,0.033243240172288066,0.03821128634997102,-0.14675119006535708,0.0347898797223095,0.04020683500185027,-0.14700556891692618,4
gpu_fp32,family_held_out,median_log,0.03325871966169207,0.038771430044736814,-0.18900491877559816,0.03478950747121369,0.04087827665703948,-0.19618182924427896,4
gpu_fp32,family_held_out,ridge,0.022043573619818534,0.027341212799855994,0.38461375217997706,0.02319122020146159,0.029046603472769647,0.37184588388908235,4
gpu_fp32,random_5fold,hgb,0.03513422893593847,0.039622185565005755,-0.7848841209325697,0.036797721540330494,0.04174207980703894,-0.8071437777781794,5
gpu_fp32,random_5fold,median_log,0.035532452204506224,0.04056172573155055,-0.753411087847753,0.037203803221016254,0.04277680298132758,-0.7744770361538631,5
gpu_fp32,random_5fold,ridge,0.03305105450297562,0.036858935897700645,-0.452551167959321,0.034255190504597514,0.038586096169044855,-0.40424302150823055,5
gpu_fp32,width_held_out,hgb,0.04263697224476937,0.04718872417472816,-4528.220631860561,0.044547663319430816,0.04947718115421282,-4759.777675407125,4
gpu_fp32,width_held_out,median_log,0.05024433680120635,0.05325147862910848,-3236.3679280934925,0.05220767730596157,0.055509171959271054,-3375.285384466428,4
gpu_fp32,width_held_out,ridge,0.13725761206378262,0.13948458321025922,-2070.947243454609,0.17377805677553146,0.17643441280248565,-2181.534617419846,4
gpu_fp64,family_held_out,hgb,0.2287168238992922,0.27247528074466304,-0.06575037857803562,0.304859164778006,0.39731356065977225,-0.06204465644068974,4
gpu_fp64,family_held_out,median_log,0.16816847136762397,0.30540632943092594,-0.3223335097935481,0.23721499549969846,0.4425353948532373,-0.3242495230193318,4
gpu_fp64,family_held_out,ridge,0.07799404898181499,0.09326289159936564,0.8655564926966874,0.0960774423973359,0.14059166705445286,0.8477916078969021,4
gpu_fp64,random_5fold,hgb,0.2510328113204606,0.29245219652949406,-40691.07462474483,0.33485447471925156,0.4149589539465948,-50293.27325127392,5
gpu_fp64,random_5fold,median_log,0.18659590602276505,0.26551489431810554,-1102.4912843875697,0.2603891342329613,0.383901589123656,-1141.2660297821262,5
gpu_fp64,random_5fold,ridge,0.11643513590573332,0.1326597950065334,-5751.018468652952,0.15764099266933712,0.19955242286124558,-4.9176089780728915,5
gpu_fp64,width_held_out,hgb,0.30495576519905626,0.31123214718224834,-108944.75353430668,0.39313372460111035,0.4087182312831401,-137041.35192731864,4
gpu_fp64,width_held_out,median_log,0.18992441849973604,0.19658734578063491,-4367.596253693853,0.25952707316107715,0.2754581497786507,-4568.228731459332,4
gpu_fp64,width_held_out,ridge,0.10235186956986729,0.1122760609714964,-21982.57718407004,0.11468311130936547,0.13088693413037428,-786.7549474252551,4
