target_name,split,model,fold,n_train,n_test,log_mae,log_rmse,log_r2,seconds_mae,seconds_rmse,seconds_r2
cpu_fp64,random_5fold,median_log,0,9,3,0.5968989342079295,0.6094444644622282,-23.541906622165353,1.6195102503327998,1.6815897988896789,-12.798532191036418
cpu_fp64,random_5fold,ridge,0,9,3,0.2656393445177152,0.3888215488958426,-8.989429307195563,1.2195869085772622,1.8507131534950434,-15.713637789935735
cpu_fp64,random_5fold,hgb,0,9,3,0.1408763114787229,0.14825750437617866,-0.4523570479428014,0.5117685443426895,0.5312669830925587,-0.37726786908961807
cpu_fp64,random_5fold,median_log,1,9,3,1.3781280829270923,1.4996036634155574,-0.003310479666907007,10.33241646299939,15.59774731496776,-0.3082514259857976
cpu_fp64,random_5fold,ridge,1,9,3,0.32246445335747814,0.39640645629648075,0.9298926096151533,3.2613840931903026,5.5804595320761585,0.832541428523334
cpu_fp64,random_5fold,hgb,1,9,3,1.4195655342759828,1.497614171030041,-0.0006501040880546594,10.480672517773677,15.386767658584395,-0.27309920751457106
cpu_fp64,random_5fold,median_log,2,10,2,1.63686091131207,1.648699138031441,-68.88544897043371,10.506536643848428,10.806432273662365,-17.27050633750661
cpu_fp64,random_5fold,ridge,2,10,2,0.36454050544294114,0.375521087271889,-2.625539133696085,4.088518448343878,4.382918413085739,-2.0054719855989758
cpu_fp64,random_5fold,hgb,2,10,2,1.4612885641446764,1.4745370366539616,-54.90045059907861,10.03086584021928,10.34456068381832,-15.742103197817283
cpu_fp64,random_5fold,median_log,3,10,2,0.9311350491568553,0.97107123711243,-11.413034459887799,2.218999686446976,2.2571332657237173,-28.847217786690337
cpu_fp64,random_5fold,ridge,3,10,2,0.4333488724731819,0.43690482014782034,-1.5127509853954466,0.8726841630249915,0.9428850687548155,-4.208431639898734
cpu_fp64,random_5fold,hgb,3,10,2,1.121490656556702,1.154862831908062,-16.556445323078137,3.006501459347037,3.034755673170527,-52.955648347972556
cpu_fp64,random_5fold,median_log,4,10,2,0.7067639750901031,0.7067639835827463,-2.403247334470393e-08,2.4953723729995545,2.6350423887221615,-0.1150760465902434
cpu_fp64,random_5fold,ridge,4,10,2,0.09541639775066357,0.10949591996550148,0.9759980202940431,0.5644994828198047,0.7515615587601053,0.9092893264232952
cpu_fp64,random_5fold,hgb,4,10,2,0.7067639750901031,0.7284850215448383,-0.06241071915348462,2.4953723729995545,2.5049341829526033,-0.007678316558318521
cpu_fp64,family_held_out,median_log,0,9,3,0.8686515765860933,0.9889377248377369,-3.3769599108424417,2.218543888666318,2.4288158056273987,-5.036727883998016
cpu_fp64,family_held_out,ridge,0,9,3,0.4727913796706613,0.537158779398195,-0.29133831518938713,1.6739710807656387,2.4025998950326706,-4.907113920128013
cpu_fp64,family_held_out,hgb,0,9,3,1.0143511147809798,1.1190846465567967,-4.604805619041536,2.8769974128518303,3.0420919357052525,-8.470155463973498
cpu_fp64,family_held_out,median_log,1,9,3,1.1598334270478794,1.4009316528337823,-0.5614459197243515,10.57028185733361,15.767573416115253,-0.6232359690938827
cpu_fp64,family_held_out,ridge,1,9,3,0.937233119088424,0.9520418043994789,0.2788840710823055,15.514377930334376,19.176496189751155,-1.4009905513864194
cpu_fp64,family_held_out,hgb,1,9,3,1.1734900499820287,1.4258758247745802,-0.6175453401194415,10.612432436316382,15.846238070350628,-0.6394730678210774
cpu_fp64,family_held_out,median_log,2,9,3,0.7650783991288375,0.911593640385373,-8.127075850095089e-05,3.181028808999448,4.297629212788055,-0.14955086481848356
cpu_fp64,family_held_out,ridge,2,9,3,0.131317964609708,0.15894572353704833,0.9695960215635746,0.4131197375432934,0.4583826048808907,0.986922444768884
cpu_fp64,family_held_out,hgb,2,9,3,0.8170000275188425,0.9261888176092903,-0.032361469149099875,3.3698092046525985,4.127298133200979,-0.06023463762914982
cpu_fp64,family_held_out,median_log,3,9,3,0.8520116200193147,1.0131128411345527,-0.18716618763344384,4.985492622666546,7.218728708955676,-0.42895399028004344
cpu_fp64,family_held_out,ridge,3,9,3,0.7558023557577078,0.7801698335024466,0.29599752513519306,4.204884030548983,5.84137518419125,0.06432073198473276
cpu_fp64,family_held_out,hgb,3,9,3,0.8170253314613478,0.976202209378455,-0.1022381820149183,4.869290228073622,7.033777211752369,-0.35666937305199164
cpu_fp64,width_held_out,median_log,0,8,4,1.322694798968642,1.34476612982055,-29.71616108200461,3.8177031019796424,3.8341584495889056,-115.75243538653139
cpu_fp64,width_held_out,ridge,0,8,4,0.5199880008363408,0.600216561800139,-5.1191255177794295,0.30689363717946405,0.37119354549141115,-0.09427547846319739
cpu_fp64,width_held_out,hgb,0,8,4,1.4834060040720063,1.5031193517517898,-37.376056460380624,4.735084247925844,4.748361493888652,-178.06610394042428
cpu_fp64,width_held_out,median_log,1,8,4,0.5491941017752602,0.6090911993773654,-0.25653632727586384,1.8360864175245104,2.263038643166749,-0.48820222760173104
cpu_fp64,width_held_out,ridge,1,8,4,0.15293576499943212,0.16937893959615424,0.9028306675752045,0.6350497952091482,0.817977642407068,0.8055710740320723
cpu_fp64,width_held_out,hgb,1,8,4,0.44540623117588823,0.5685921637533938,-0.09499500943712857,1.5408446024998739,1.8595702166334989,-0.004854482054640341
cpu_fp64,width_held_out,median_log,2,8,4,1.8570140718421815,2.0210632601442207,-5.420506112449415,13.11757312445907,16.402271796750426,-1.7745873491448942
cpu_fp64,width_held_out,ridge,2,8,4,0.2792792257476568,0.3817689167898343,0.7709076535129213,3.1775353994935913,4.161360986764836,0.8214083391914624
cpu_fp64,width_held_out,hgb,2,8,4,1.6508791564548817,1.8334659603336216,-4.283906837980001,12.712662946628628,16.080285899620318,-1.6667231155331899
gpu_fp32,random_5fold,median_log,0,12,4,0.025973361888574617,0.029872895056093286,-3.097773387530835,0.026666343439187154,0.03060442694203645,-3.152891244853314
gpu_fp32,random_5fold,ridge,0,12,4,0.020714244691573645,0.024167487236894984,-1.681984768482672,0.01844314328083335,0.022812111310447074,-1.3073475616147272
gpu_fp32,random_5fold,hgb,0,12,4,0.028316036174055724,0.03193074123549178,-3.681783339910706,0.029115884726578195,0.032760827514657746,-3.758737846208792
gpu_fp32,random_5fold,median_log,1,13,3,0.037317276953429894,0.04181902987100988,-0.22675164470013676,0.039116252333769835,0.04413964834677192,-0.24121808339982498
gpu_fp32,random_5fold,ridge,1,13,3,0.040689595872792576,0.04988850755782215,-0.7458614094165068,0.04258431200732965,0.05251460408892882,-0.7569141789520353
gpu_fp32,random_5fold,hgb,1,13,3,0.035485778328978444,0.03976741431800246,-0.10933687523613278,0.037222145462689295,0.04194589672008657,-0.12090633283636065
gpu_fp32,random_5fold,median_log,2,13,3,0.050878567147663256,0.05886578420439512,-0.03545245135063091,0.05382768233297006,0.06312907447369638,-0.044986088923721024
gpu_fp32,random_5fold,ridge,2,13,3,0.06525053864392381,0.0665157183463373,-0.3220651702104469,0.06892111765116092,0.07062438759157465,-0.3078593888158285
gpu_fp32,random_5fold,hgb,2,13,3,0.0521869513737916,0.05826730831260835,-0.014505030280666853,0.05518325557628224,0.06241221376580564,-0.02138820708380562
gpu_fp32,random_5fold,median_log,3,13,3,0.02911344112369746,0.029459907408819996,-0.2788606843189583,0.030295714666256867,0.03070967571664762,-0.2940313364699356
gpu_fp32,random_5fold,ridge,3,13,3,0.02607836930254138,0.03096082499451103,-0.4124904825165798,0.02820233350700684,0.033608309873428326,-0.5498428999378733
gpu_fp32,random_5fold,hgb,3,13,3,0.02695713114891443,0.027050901941439925,-0.07826120839407702,0.028064605187909097,0.028141124147432257,-0.08661880509360054
gpu_fp32,random_5fold,median_log,4,13,3,0.03437961390916591,0.04279101211743444,-0.12821727133820393,0.036113023332897363,0.04530118942748553,-0.13925842712252012
gpu_fp32,random_5fold,ridge,4,13,3,0.012522524004046713,0.012762141352937753,0.8996459908296008,0.013125046076656826,0.013371067980845391,0.9007489217793115
gpu_fp32,random_5fold,hgb,4,13,3,0.03272524765395213,0.04109456201748624,-0.04053415084126555,0.03440271674819363,0.04345033688721245,-0.048067697668338294
gpu_fp32,family_held_out,median_log,0,12,4,0.024860712195009998,0.027379393495464813,-0.4685250948560915,0.02567625675441465,0.02836858967435248,-0.4816120842755618
gpu_fp32,family_held_out,ridge,0,12,4,0.019822155130388475,0.020424694765010333,0.18276891906446002,0.02055926634322943,0.021190015768320695,0.17335017153268273
gpu_fp32,family_held_out,hgb,0,12,4,0.019752894609941424,0.02285507239781095,-0.023290466613026917,0.020435147750504278,0.02354104774650282,-0.02025938067709565
gpu_fp32,family_held_out,median_log,1,12,4,0.0383122215739224,0.05093289620970261,-0.04740293508016147,0.040547571999468346,0.054671969792858474,-0.05575359209580655
gpu_fp32,family_held_out,ridge,1,12,4,0.02132814949955195,0.03333617973110993,0.5513076140093462,0.022972415399629888,0.036427338181199614,0.5313075043245902
gpu_fp32,family_held_out,hgb,1,12,4,0.038693499011625596,0.05009645930551858,-0.013283815928386344,0.04094317524486177,0.05370507429003528,-0.018740960309928667
gpu_fp32,family_held_out,median_log,2,12,4,0.02341682076797192,0.0269989355767733,-0.09425475337120304,0.024094234881028534,0.027780015761671516,-0.08605373918082426
gpu_fp32,family_held_out,ridge,2,12,4,0.01875652596572606,0.020320054561676706,0.38016671210927555,0.019514204783424728,0.021224461757997175,0.3660431327001372
gpu_fp32,family_held_out,hgb,2,12,4,0.02808144295772132,0.031045536629494695,-0.4468499676294384,0.028941229643928704,0.03189532020442688,-0.4316612573484002
gpu_fp32,family_held_out,median_log,3,12,4,0.04644512410986394,0.049774494897006534,-0.14583689179493664,0.048839966249943245,0.05269253139927547,-0.16130790142492324
gpu_fp32,family_held_out,ridge,3,12,4,0.028267463883607655,0.03528392214162701,0.42421176353682655,0.029718994279562316,0.03734459818356111,0.4166827269989193
gpu_fp32,family_held_out,hgb,3,12,4,0.046445124109863935,0.048848077067059875,-0.10358051009057667,0.048839966249943245,0.051685897766436104,-0.11736067733228017
gpu_fp32,width_held_out,median_log,0,12,4,0.04680418084790616,0.052743236657863964,-3.7052873455691904,0.04856078754779388,0.05506105705194962,-3.5009729944727743
gpu_fp32,width_held_out,ridge,0,12,4,0.06765304146685874,0.07194198648095898,-7.754219801438245,0.05544140024994702,0.0612153475697958,-4.563370166573931
gpu_fp32,width_held_out,hgb,0,12,4,0.020070818067807687,0.031451014111828164,-0.6731000132321734,0.021280452378810214,0.03348232829113891,-0.6643651690392529
gpu_fp32,width_held_out,median_log,1,12,4,0.04208298892294514,0.04208461695513109,-12924.245382193149,0.04303915893902246,0.04304075523264895,-13480.715606679958
gpu_fp32,width_held_out,ridge,1,12,4,0.03176479052423801,0.03312852801735012,-8008.332410360662,0.03236442250681628,0.03379097923915076,-8308.730711303624
gpu_fp32,width_held_out,hgb,1,12,4,0.049795538886549764,0.04979691476962477,-18095.596878520842,0.05112523597826202,0.051126579805922265,-19021.99425775281
gpu_fp32,width_held_out,median_log,2,12,4,0.03129932578009913,0.03314240031007744,-8.248213670963658,0.03212217868909151,0.03398527767702615,-8.377676964998248
gpu_fp32,width_held_out,ridge,2,12,4,0.017743233611365775,0.019843094169640356,-2.3151922977997783,0.01800246156558218,0.020168119134559105,-2.302512113215719
gpu_fp32,width_held_out,hgb,2,12,4,0.03541732136275508,0.03705614060499705,-10.561396857368338,0.03643185292529044,0.03808470352543974,-10.776460543062022
gpu_fp32,width_held_out,median_log,3,12,4,0.08079085165387496,0.08503566059336143,-9.272829164290066,0.08510858404793845,0.08994959787545949,-8.547281226282598
gpu_fp32,width_held_out,ridge,3,12,4,0.43186938265266794,0.43302472417308746,-265.3871513585367,0.5893039427797804,0.5905632052664369,-410.5418760959711
gpu_fp32,width_held_out,hgb,3,12,4,0.06526421066196494,0.07045082721246265,-6.051152050802067,0.06935311199536061,0.07521511299435037,-5.675618163589262
gpu_fp64,random_5fold,median_log,0,12,4,0.015187707927137056,0.01954691794550292,-0.6300830091847636,0.01547438249963305,0.019888978003492295,-0.6254290435556169
gpu_fp64,random_5fold,ridge,0,12,4,0.04593192842156659,0.06122269864084229,-14.991090417664202,0.029625980252329036,0.05192144444449128,-10.077368738910893
gpu_fp64,random_5fold,hgb,0,12,4,0.20283379561694712,0.20341077366583266,-175.5228961628606,0.22897590865597423,0.22950671247763507,-215.43817572378313
gpu_fp64,random_5fold,median_log,1,13,3,0.0342277599721237,0.03423086713202194,-5507.635201211823,0.034882668667099395,0.03488572745404213,-5701.792899227411
gpu_fp64,random_5fold,ridge,1,13,3,0.07221796580854618,0.0781914210824532,-28741.62468218552,0.0017951723336106001,0.0018536586434486492,-15.100951963684423
gpu_fp64,random_5fold,hgb,1,13,3,0.20794167029970642,0.20794218176919427,-203278.41591843206,0.23155616275443816,0.23155662356369539,-251249.21941508632
gpu_fp64,random_5fold,median_log,2,13,3,0.30576953333410767,0.49931493697492174,-0.5945985107696687,0.477830631666317,0.7960442573314689,-0.5600511529805927
gpu_fp64,random_5fold,ridge,2,13,3,0.21149361466454128,0.23796356753949766,0.6378210708454608,0.34244536476591114,0.4382507656329897,0.5271648234543025
gpu_fp64,random_5fold,hgb,2,13,3,0.3151123645418847,0.43092564615598417,-0.187700449649973,0.4893978314126845,0.7192303440396509,-0.2735042981056721
gpu_fp64,random_5fold,median_log,3,13,3,0.32919488450964357,0.37697795406719453,-3.211597427329127,0.41391970199947536,0.47931104309147876,-2.933244668848076
gpu_fp64,random_5fold,ridge,3,13,3,0.1743085581877634,0.1861728710119649,-0.027182798143331688,0.2917862314964066,0.3244962006457474,-0.8027492563996923
gpu_fp64,random_5fold,hgb,3,13,3,0.23970976971049404,0.2712675756915806,-1.180774286610855,0.3195143121567435,0.3661398607957794,-1.2951449402404314
