target,split,model,log_mae,log_rmse,log_r2,seconds_mae,seconds_rmse,seconds_r2,folds
sample_warm_median_s,cap_held_out,hgb,0.11443103292502124,0.1377679175919003,-0.012368577003509296,0.14289625522293847,0.17641336049828973,-0.01609018500976822,4
sample_warm_median_s,cap_held_out,median_log,0.11498980361235313,0.13840346671382323,-0.0214363900234244,0.14357485170489376,0.17768138425561997,-0.030279891971534023,4
sample_warm_median_s,cap_held_out,ridge,0.022459708214745192,0.026873491871461225,0.9562985591865637,0.028482266537492328,0.03497081066508767,0.9537914544164909,4
sample_warm_median_s,family_held_out,hgb,0.12455685305693116,0.15215600238405397,-0.8941484965546225,0.1552410894893704,0.19257988125417644,-0.8429781480350373,4
sample_warm_median_s,family_held_out,median_log,0.12811388927722406,0.14872599997875463,-0.8138737298635121,0.15921309952061738,0.18786087295078352,-0.7268043119259204,4
sample_warm_median_s,family_held_out,ridge,0.11293278744495029,0.1155848149156398,-0.21303652411303262,0.1490568735831591,0.15570482226865417,-0.3332718432241617,4
sample_warm_median_s,grouped_circuit,hgb,0.13272941911799196,0.14161607670832782,-11.473675843682493,0.16631574281473022,0.17817751562994194,-10.300001759372254,5
sample_warm_median_s,grouped_circuit,median_log,0.12274312430970735,0.13732726520353009,-4.928620131643553,0.15364355948311617,0.1736312238269483,-4.696775365525911,5
sample_warm_median_s,grouped_circuit,ridge,0.017754203858791832,0.020409808380548743,0.743166659014445,0.022598078352267986,0.026274176843977086,0.7381176366619533,5
sample_warm_median_s,width_held_out,hgb,0.16020664229947548,0.1778309909990885,-4.191244957806738,0.19840137325878685,0.22010721117365553,-3.861190506972566,3
sample_warm_median_s,width_held_out,median_log,0.1643548844575212,0.18151056672580443,-4.469488806011508,0.2031832630503261,0.22428394682316588,-4.082170371857081,3
sample_warm_median_s,width_held_out,ridge,0.10786202831004564,0.10973945854436269,-1.1891640793382103,0.12426392085922237,0.12898960881515945,-0.74002596987846,3
state_warm_median_s,cap_held_out,hgb,0.0788214052014291,0.09038522831907231,-0.041172832879822596,0.08960781395163107,0.10385940753148595,-0.04337412213540209,4
state_warm_median_s,cap_held_out,median_log,0.07843898470913722,0.09102275713114559,-0.04592673481091025,0.0891757294997054,0.10518300803664009,-0.059624742908132966,4
state_warm_median_s,cap_held_out,ridge,0.023982172441223606,0.029196279709335877,0.8652407503560694,0.02807004427184636,0.03516807651148515,0.8459219409290804,4
state_warm_median_s,family_held_out,hgb,0.10458531294551629,0.10866571622042023,-916.0183535136739,0.11866047632452764,0.1238319668742979,-1054.9243063568604,4
state_warm_median_s,family_held_out,median_log,0.1187584204235202,0.12206185599355308,-894.1459632904852,0.13439106135770237,0.13865769231712544,-1026.5912607975654,4
state_warm_median_s,family_held_out,ridge,0.14323542451223703,0.14634521058146194,-685.421760090275,0.1740106091869105,0.17877682724924193,-779.6837621223726,4
state_warm_median_s,grouped_circuit,hgb,0.06348670013045596,0.0694668875643815,0.12810849844832978,0.0730792789965564,0.08053241981053853,0.12382476670713083,5
state_warm_median_s,grouped_circuit,median_log,0.08926066601794733,0.09752950614689734,-0.6083943141227783,0.10159514910323506,0.11176097743059954,-0.5528302877539131,5
state_warm_median_s,grouped_circuit,ridge,0.020460707535474562,0.024276301278514833,0.900961298157554,0.023597828307419598,0.028672607092422597,0.8960183604255665,5
state_warm_median_s,width_held_out,hgb,0.0792718295683633,0.09154747090202402,-0.11539462015907964,0.09012050422011848,0.10491428727785197,-0.11611484479302885,3
state_warm_median_s,width_held_out,median_log,0.07852683004696148,0.09202280324129204,-0.1099922671623222,0.08927463252309142,0.10591993347435387,-0.11985610581619015,3
state_warm_median_s,width_held_out,ridge,0.026223250534606984,0.030945388699617146,0.8611021253603441,0.02791647168635854,0.03578113127737875,0.860988840980597,3
