status,source,runtime_semantics,target_name,observation_unit,family,circuit_variant,num_qubits,logical_depth,logical_total_gate_count,logical_two_qubit_gate_count,circuit_seed,precision,optimizer_samples,optimizer_seed,path_optimization_s,pre_run_flop_count,pre_run_largest_intermediate_elements,pre_run_num_slices,first_contract_gpu_s,contract_gpu_median_s,contract_gpu_min_s,contract_gpu_max_s,scalar_real,scalar_imag,gpu_name,gpu_compute_capability
ok,cutensornet_precision_proxy,T_sim_contract: local GPU tensor-network scalar contraction,contract_gpu_median_s,one circuit-derived scalar tensor contraction at one complex precision,hea,layers_4,16,12,158,30,42,complex64,16,42,0.024255519999769604,6712.0,32.0,1,0.000554144024848938,0.00036188799142837524,0.0003592639863491058,0.0003654719889163971,0.0026589964982122183,-0.008191097527742386,NVIDIA GeForce RTX 5070 Ti,12.0
ok,cutensornet_precision_proxy,T_sim_contract: local GPU tensor-network scalar contraction,contract_gpu_median_s,one circuit-derived scalar tensor contraction at one complex precision,hea,layers_4,16,12,158,30,42,complex128,16,42,0.02339658299979419,6712.0,32.0,1,0.0013818559646606445,0.0012336640357971192,0.001230720043182373,0.001244480013847351,0.002658992520175981,-0.008191097981628167,NVIDIA GeForce RTX 5070 Ti,12.0
ok,cutensornet_precision_proxy,T_sim_contract: local GPU tensor-network scalar contraction,contract_gpu_median_s,one circuit-derived scalar tensor contraction at one complex precision,hea,layers_4,20,12,198,38,42,complex64,16,42,0.02984995999986495,8656.0,32.0,1,0.0006581760048866272,0.00044809600710868835,0.00044367998838424683,0.00045916798710823057,-8.137722034007311e-06,0.0014226916246116161,NVIDIA GeForce RTX 5070 Ti,12.0
ok,cutensornet_precision_proxy,T_sim_contract: local GPU tensor-network scalar contraction,contract_gpu_median_s,one circuit-derived scalar tensor contraction at one complex precision,hea,layers_4,20,12,198,38,42,complex128,16,42,0.028629587000068568,8656.0,32.0,1,0.0016718720197677612,0.0015393279790878295,0.0015378240346908569,0.0015421760082244872,-8.13707562485785e-06,0.0014226910778826654,NVIDIA GeForce RTX 5070 Ti,12.0
ok,cutensornet_precision_proxy,T_sim_contract: local GPU tensor-network scalar contraction,contract_gpu_median_s,one circuit-derived scalar tensor contraction at one complex precision,qaoa_cycle,p_3,8,28,56,24,42,complex64,16,42,0.016753390999838302,8920.0,64.0,1,0.00033423998951911927,0.00015104000270366668,0.00014854399859905244,0.00015993599593639373,0.021906323730945587,-0.017002888023853302,NVIDIA GeForce RTX 5070 Ti,12.0
ok,cutensornet_precision_proxy,T_sim_contract: local GPU tensor-network scalar contraction,contract_gpu_median_s,one circuit-derived scalar tensor contraction at one complex precision,qaoa_cycle,p_3,8,28,56,24,42,complex128,16,42,0.016269648000161396,8920.0,64.0,1,0.0006503360271453857,0.00047702398896217347,0.000474047988653183,0.00048211199045181276,0.02190632873334057,-0.017002907277784834,NVIDIA GeForce RTX 5070 Ti,12.0
ok,cutensornet_precision_proxy,T_sim_contract: local GPU tensor-network scalar contraction,contract_gpu_median_s,one circuit-derived scalar tensor contraction at one complex precision,qaoa_cycle,p_3,12,40,84,36,42,complex64,16,42,0.021032394000030763,15160.0,64.0,1,0.0004216639995574951,0.00021225599944591522,0.00020889599621295928,0.000217631995677948,0.004920051433146,-0.0005591330118477345,NVIDIA GeForce RTX 5070 Ti,12.0
ok,cutensornet_precision_proxy,T_sim_contract: local GPU tensor-network scalar contraction,contract_gpu_median_s,one circuit-derived scalar tensor contraction at one complex precision,qaoa_cycle,p_3,12,40,84,36,42,complex128,16,42,0.02038120799988974,15160.0,64.0,1,0.0008711680173873901,0.0007097600102424622,0.0007065280079841614,0.0007130560278892517,0.004920052176855136,-0.0005591371083518486,NVIDIA GeForce RTX 5070 Ti,12.0
ok,cutensornet_precision_proxy,T_sim_contract: local GPU tensor-network scalar contraction,contract_gpu_median_s,one circuit-derived scalar tensor contraction at one complex precision,qaoa_cycle,p_3,16,52,112,48,42,complex64,16,42,0.027884605000053853,20952.0,64.0,1,0.0004819520115852356,0.0002802560031414032,0.00027647998929023745,0.00029023998975753783,0.0004299232386983931,-0.00018647039541974664,NVIDIA GeForce RTX 5070 Ti,12.0
ok,cutensornet_precision_proxy,T_sim_contract: local GPU tensor-network scalar contraction,contract_gpu_median_s,one circuit-derived scalar tensor contraction at one complex precision,qaoa_cycle,p_3,16,52,112,48,42,complex128,16,42,0.027144487999976263,20952.0,64.0,1,0.001094912052154541,0.0009418879747390747,0.0009399999976158142,0.0009469119906425476,0.0004299233298006396,-0.00018647129790239328,NVIDIA GeForce RTX 5070 Ti,12.0
