status,source,runtime_semantics,target_name,observation_unit,family,circuit_variant,num_qubits,logical_depth,logical_total_gate_count,logical_two_qubit_gate_count,circuit_seed,candidate_plan,candidate_plan_source,operand_count,memory_limit,precision,path_optimization_s,pre_run_runtime_est_s,pre_run_flop_count,pre_run_largest_intermediate_elements,pre_run_num_slices,first_contract_gpu_s,contract_gpu_median_s,contract_gpu_min_s,contract_gpu_max_s,scalar_real,scalar_imag,gpu_name,gpu_compute_capability
ok,cutensornet,T_sim_contract: local GPU tensor-network scalar contraction,contract_gpu_median_s,one fixed tensor network under one explicit candidate contraction plan,hea,layers_4,8,12,78,14,42,right_fold,explicit deterministic einsum path,94,70%,complex64,0.008783137000136776,,95736.0,256.0,1,0.0003399040102958679,0.0002011200040578842,0.00019913600385189055,0.00021001599729061126,-0.020059660077095032,0.007279796991497278,NVIDIA GeForce RTX 5070 Ti,12.0
ok,cutensornet,T_sim_contract: local GPU tensor-network scalar contraction,contract_gpu_median_s,one fixed tensor network under one explicit candidate contraction plan,hea,layers_4,10,12,98,18,42,native_time_tuned,cuTensorNet TIME_TUNED,118,70%,complex64,0.01548893000017415,0.00117000789425,3808.0,16.0,1,0.00042127999663352965,0.0002274560034275055,0.0002248000055551529,0.00023651200532913208,0.03216658532619476,-0.04756398871541023,NVIDIA GeForce RTX 5070 Ti,12.0
ok,cutensornet,T_sim_contract: local GPU tensor-network scalar contraction,contract_gpu_median_s,one fixed tensor network under one explicit candidate contraction plan,hea,layers_4,10,12,98,18,42,left_fold,explicit deterministic einsum path,118,70%,complex64,0.01721223300000929,,8280812952.0,1048576.0,1,0.0022610559463500978,0.0019482239484786988,0.0019442559480667115,0.001960767984390259,0.03216660022735596,-0.04756396263837814,NVIDIA GeForce RTX 5070 Ti,12.0
ok,cutensornet,T_sim_contract: local GPU tensor-network scalar contraction,contract_gpu_median_s,one fixed tensor network under one explicit candidate contraction plan,hea,layers_4,10,12,98,18,42,right_fold,explicit deterministic einsum path,118,70%,complex64,0.011417321999942942,,481272.0,1024.0,1,0.0005578879714012146,0.0003701440095901489,0.0003689599931240082,0.00037622401118278504,0.03216657415032387,-0.04756398871541023,NVIDIA GeForce RTX 5070 Ti,12.0
ok,cutensornet,T_sim_contract: local GPU tensor-network scalar contraction,contract_gpu_median_s,one fixed tensor network under one explicit candidate contraction plan,hea,layers_4,12,12,118,22,42,native_time_tuned,cuTensorNet TIME_TUNED,142,70%,complex64,0.01799458000004961,0.00141001006525,4968.0,32.0,1,0.000471776008605957,0.0002721599936485291,0.00026652801036834717,0.0002775999903678894,0.013970826752483845,-0.017969749867916107,NVIDIA GeForce RTX 5070 Ti,12.0
ok,cutensornet,T_sim_contract: local GPU tensor-network scalar contraction,contract_gpu_median_s,one fixed tensor network under one explicit candidate contraction plan,hea,layers_4,12,12,118,22,42,left_fold,explicit deterministic einsum path,142,70%,complex64,0.019904425999811792,,320768191584.0,16777216.0,1,0.06646505737304688,0.06723766326904297,0.06621212768554688,0.06777961730957031,0.013970812782645226,-0.01796974614262581,NVIDIA GeForce RTX 5070 Ti,12.0
ok,cutensornet,T_sim_contract: local GPU tensor-network scalar contraction,contract_gpu_median_s,one fixed tensor network under one explicit candidate contraction plan,hea,layers_4,12,12,118,22,42,right_fold,explicit deterministic einsum path,142,70%,complex64,0.015667479000057938,,2318328.0,4096.0,1,0.005015647888183593,0.0004955199956893921,0.000491456001996994,0.0005008959770202636,0.013970816507935524,-0.017969751730561256,NVIDIA GeForce RTX 5070 Ti,12.0
ok,cutensornet,T_sim_contract: local GPU tensor-network scalar contraction,contract_gpu_median_s,one fixed tensor network under one explicit candidate contraction plan,qaoa_cycle,p_3,8,28,56,24,42,native_time_tuned,cuTensorNet TIME_TUNED,72,70%,complex64,0.016661906000081217,0.00071001046825,8920.0,64.0,1,0.0003151359856128693,0.00014716799557209015,0.0001452160030603409,0.00015830400586128236,0.021906323730945587,-0.017002888023853302,NVIDIA GeForce RTX 5070 Ti,12.0
ok,cutensornet,T_sim_contract: local GPU tensor-network scalar contraction,contract_gpu_median_s,one fixed tensor network under one explicit candidate contraction plan,qaoa_cycle,p_3,8,28,56,24,42,left_fold,explicit deterministic einsum path,72,70%,complex64,0.00985052700025335,,169965408.0,65536.0,1,0.000683359980583191,0.0002436159998178482,0.00024134400486946106,0.0002562240064144134,0.021906256675720215,-0.01700279675424099,NVIDIA GeForce RTX 5070 Ti,12.0
ok,cutensornet,T_sim_contract: local GPU tensor-network scalar contraction,contract_gpu_median_s,one fixed tensor network under one explicit candidate contraction plan,qaoa_cycle,p_3,8,28,56,24,42,right_fold,explicit deterministic einsum path,72,70%,complex64,0.006867485999919154,,83448.0,256.0,1,0.0003026559948921204,0.0001576959937810898,0.00015596799552440642,0.0001607999950647354,0.021906331181526184,-0.017002908512949944,NVIDIA GeForce RTX 5070 Ti,12.0
ok,cutensornet,T_sim_contract: local GPU tensor-network scalar contraction,contract_gpu_median_s,one fixed tensor network under one explicit candidate contraction plan,qaoa_cycle,p_3,10,34,70,30,42,native_time_tuned,cuTensorNet TIME_TUNED,90,70%,complex64,0.018810825999935332,0.00089001384825,12264.0,64.0,1,0.0003487359881401062,0.00018009600043296815,0.00017926399409770965,0.0001961600035429001,-0.006313631776720285,5.219830200076103e-05,NVIDIA GeForce RTX 5070 Ti,12.0
ok,cutensornet,T_sim_contract: local GPU tensor-network scalar contraction,contract_gpu_median_s,one fixed tensor network under one explicit candidate contraction plan,qaoa_cycle,p_3,10,34,70,30,42,left_fold,explicit deterministic einsum path,90,70%,complex64,0.013094861999888963,,3236863272.0,1048576.0,1,0.0012131839990615844,0.0009170560240745545,0.000912064015865326,0.0009248960018157959,-0.006313678342849016,5.215499550104141e-05,NVIDIA GeForce RTX 5070 Ti,12.0
ok,cutensornet,T_sim_contract: local GPU tensor-network scalar contraction,contract_gpu_median_s,one fixed tensor network under one explicit candidate contraction plan,qaoa_cycle,p_3,10,34,70,30,42,right_fold,explicit deterministic einsum path,90,70%,complex64,0.008584340999732376,,415736.0,1024.0,1,0.00042425599694252014,0.00026604801416397095,0.00026399999856948855,0.00026995199918746946,-0.006313628517091274,5.21964393556118e-05,NVIDIA GeForce RTX 5070 Ti,12.0
ok,cutensornet,T_sim_contract: local GPU tensor-network scalar contraction,contract_gpu_median_s,one fixed tensor network under one explicit candidate contraction plan,qaoa_cycle,p_3,12,40,84,36,42,native_time_tuned,cuTensorNet TIME_TUNED,108,70%,complex64,0.020704134999959933,0.00107001691625,15160.0,64.0,1,0.0003996480107307434,0.00021158400177955628,0.00020915199816226959,0.00021459199488162994,0.004920051433146,-0.0005591330118477345,NVIDIA GeForce RTX 5070 Ti,12.0
