status,source,runtime_semantics,target_name,observation_unit,family,circuit_variant,family_depth_multiplier,family_depth_parameter,num_qubits,logical_depth,logical_total_gate_count,logical_two_qubit_gate_count,circuit_seed,precision,optimizer_samples,optimizer_seed,path_optimization_s,pre_run_flop_count,pre_run_largest_intermediate_elements,pre_run_num_slices,first_contract_gpu_s,contract_gpu_median_s,contract_gpu_min_s,contract_gpu_max_s,scalar_real,scalar_imag,gpu_name,gpu_compute_capability
ok,cutensornet_precision_proxy,T_sim_contract: local GPU tensor-network scalar contraction,contract_gpu_median_s,one circuit-derived scalar tensor contraction at one complex precision,hea,layers_4,1.0,4,12,12,118,22,137,complex64,16,42,0.01813781399960135,4968.0,32.0,1,0.0004772799909114838,0.0002770240008831024,0.0002756159901618958,0.0002853119969367981,0.013970826752483845,-0.017969749867916107,NVIDIA GeForce RTX 5070 Ti,12.0
ok,cutensornet_precision_proxy,T_sim_contract: local GPU tensor-network scalar contraction,contract_gpu_median_s,one circuit-derived scalar tensor contraction at one complex precision,hea,layers_4,1.0,4,12,12,118,22,137,complex128,16,42,0.017240101999959734,4968.0,32.0,1,0.0010835520029067994,0.0009213759899139404,0.00091948801279068,0.000926912009716034,0.013970821121741542,-0.017969748234879644,NVIDIA GeForce RTX 5070 Ti,12.0
ok,cutensornet_precision_proxy,T_sim_contract: local GPU tensor-network scalar contraction,contract_gpu_median_s,one circuit-derived scalar tensor contraction at one complex precision,hea,layers_8,2.0,8,12,24,236,44,137,complex64,16,42,0.042349125999862736,31856.0,128.0,1,0.0007163199782371521,0.0004887680113315582,0.00048547199368476865,0.0004965760111808777,-0.0009965433273464441,0.0074454317800700665,NVIDIA GeForce RTX 5070 Ti,12.0
ok,cutensornet_precision_proxy,T_sim_contract: local GPU tensor-network scalar contraction,contract_gpu_median_s,one circuit-derived scalar tensor contraction at one complex precision,hea,layers_8,2.0,8,12,24,236,44,137,complex128,16,42,0.04087418600011006,31856.0,128.0,1,0.0018292160034179686,0.0016902400255203248,0.0016870399713516235,0.0016989120244979858,-0.0009965446540573949,0.007445431086779348,NVIDIA GeForce RTX 5070 Ti,12.0
ok,cutensornet_precision_proxy,T_sim_contract: local GPU tensor-network scalar contraction,contract_gpu_median_s,one circuit-derived scalar tensor contraction at one complex precision,hea,layers_4,1.0,4,16,12,158,30,137,complex64,16,42,0.024248046000138856,6712.0,32.0,1,0.0005601599812507629,0.00036028799414634705,0.0003584960103034973,0.0003655039966106415,0.0026589964982122183,-0.008191097527742386,NVIDIA GeForce RTX 5070 Ti,12.0
ok,cutensornet_precision_proxy,T_sim_contract: local GPU tensor-network scalar contraction,contract_gpu_median_s,one circuit-derived scalar tensor contraction at one complex precision,hea,layers_4,1.0,4,16,12,158,30,137,complex128,16,42,0.023857633999796235,6712.0,32.0,1,0.0013641599416732788,0.0012305279970169067,0.0012298239469528199,0.0012355519533157348,0.002658992520175981,-0.008191097981628167,NVIDIA GeForce RTX 5070 Ti,12.0
ok,cutensornet_precision_proxy,T_sim_contract: local GPU tensor-network scalar contraction,contract_gpu_median_s,one circuit-derived scalar tensor contraction at one complex precision,hea,layers_8,2.0,8,16,24,316,60,137,complex64,16,42,0.05650856099964585,46816.0,128.0,1,0.0010276479721069336,0.0006631360054016113,0.0006565759778022766,0.0006800959706306458,0.0001692011283012107,-0.0004993751645088196,NVIDIA GeForce RTX 5070 Ti,12.0
ok,cutensornet_precision_proxy,T_sim_contract: local GPU tensor-network scalar contraction,contract_gpu_median_s,one circuit-derived scalar tensor contraction at one complex precision,hea,layers_8,2.0,8,16,24,316,60,137,complex128,16,42,0.054849499999363616,46816.0,128.0,1,0.002520960092544556,0.0022601919174194338,0.0022551679611206056,0.002276832103729248,0.00016919994467125,-0.0004993751784761901,NVIDIA GeForce RTX 5070 Ti,12.0
ok,cutensornet_precision_proxy,T_sim_contract: local GPU tensor-network scalar contraction,contract_gpu_median_s,one circuit-derived scalar tensor contraction at one complex precision,hea,layers_4,1.0,4,20,12,198,38,137,complex64,16,42,0.02984566499981156,8656.0,32.0,1,0.0006295679807662963,0.0004506880044937134,0.0004453440010547638,0.00046956801414489745,-8.137722034007311e-06,0.0014226916246116161,NVIDIA GeForce RTX 5070 Ti,12.0
ok,cutensornet_precision_proxy,T_sim_contract: local GPU tensor-network scalar contraction,contract_gpu_median_s,one circuit-derived scalar tensor contraction at one complex precision,hea,layers_4,1.0,4,20,12,198,38,137,complex128,16,42,0.028721552999741107,8656.0,32.0,1,0.0016636799573898316,0.0015386879444122315,0.0015359359979629516,0.0015422719717025756,-8.13707562485785e-06,0.0014226910778826654,NVIDIA GeForce RTX 5070 Ti,12.0
