split,relative_tolerance,safe_probability,roc_auc,n,complex64_selection_rate,unsafe_selection_rate,unsafe_given_complex64_rate,policy_over_always_complex128_time_ratio,policy_over_safe_oracle_time_ratio,always_complex64_unsafe_rate
random_5fold_descriptive,5e-07,0.8,0.8690476190476191,52,0.15384615384615385,0.0,0.0,0.9813878306319846,1.2325087733019537,0.5384615384615384
family_held_out,5e-07,0.8,0.5386904761904763,52,0.057692307692307696,0.038461538461538464,0.6666666666666666,0.9809957441665662,1.2320163583835724,0.5384615384615384
width_held_out,5e-07,0.8,0.7604166666666666,52,0.23076923076923078,0.038461538461538464,0.16666666666666666,0.9645919355320337,1.2114150859542945,0.5384615384615384
circuit_group_5fold,5e-07,0.8,0.7797619047619048,52,0.15384615384615385,0.038461538461538464,0.25,0.9774512230784569,1.227564852870777,0.5384615384615384
