family,circuit_variant,family_depth_multiplier,num_qubits,circuit_seed,logical_depth,logical_total_gate_count,logical_two_qubit_gate_count,family_depth_parameter,pre_run_flop_count,pre_run_largest_intermediate_elements,pre_run_num_slices,complex64_seconds,complex128_seconds,relative_scalar_difference,safe_complex64
qaoa_cycle,p_3,1.0,8.0,137,28.0,56.0,24.0,3.0,8920.0,64.0,1.0,0.00015014399588108063,0.0004761280119419098,7.173722014020719e-07,False
qaoa_cycle,p_6,2.0,8.0,137,55.0,104.0,48.0,6.0,171096.0,1024.0,1.0,0.00027430400252342223,0.0010206400156021118,1.5231552792273152e-06,False
qaoa_cycle,p_3,1.0,12.0,137,40.0,84.0,36.0,3.0,15160.0,64.0,1.0,0.00021180799603462219,0.0007109439969062805,8.408117964061954e-07,False
qaoa_cycle,p_6,2.0,12.0,137,79.0,156.0,72.0,6.0,4662920.0,32768.0,1.0,0.0004163199961185455,0.0018416320085525512,5.4712603836075145e-06,False
qaoa_cycle,p_3,1.0,16.0,137,52.0,112.0,48.0,3.0,20952.0,64.0,1.0,0.0002772800028324127,0.0009439359903335572,1.9356137762569014e-06,False
qaoa_cycle,p_6,2.0,16.0,137,103.0,208.0,96.0,6.0,3883912.0,16384.0,1.0,0.000517408013343811,0.001991104006767273,8.635493020647486e-07,False
qaoa_cycle,p_3,1.0,20.0,137,64.0,140.0,60.0,3.0,27192.0,64.0,1.0,0.00034691199660301207,0.001176416039466858,1.803382984211388e-06,False
qaoa_cycle,p_6,2.0,20.0,137,127.0,260.0,120.0,6.0,3399176.0,8192.0,1.0,0.0006667199730873108,0.0028339519500732422,4.7501859576787695e-06,False
random_brickwork,layers_8,1.0,8.0,137,24.0,156.0,28.0,8.0,15592.0,128.0,1.0,0.0003304319977760315,0.00111900794506073,2.557836323096331e-07,True
random_brickwork,layers_16,2.0,8.0,137,48.0,312.0,56.0,16.0,83976.0,256.0,1.0,0.0006304320096969605,0.0022095038890838623,7.526991404183562e-07,False
random_brickwork,layers_8,1.0,12.0,137,24.0,236.0,44.0,8.0,30664.0,128.0,1.0,0.0004930559992790222,0.0016902079582214356,7.468451428519191e-07,False
random_brickwork,layers_16,2.0,12.0,137,48.0,472.0,88.0,16.0,1740440.0,8192.0,1.0,0.0010143040418624878,0.0038290879726409913,5.271669700280333e-07,False
random_brickwork,layers_8,1.0,16.0,137,24.0,316.0,60.0,8.0,47848.0,128.0,1.0,0.000654367983341217,0.0022585279941558837,4.3774365733636454e-07,True
random_brickwork,layers_16,2.0,16.0,137,48.0,632.0,120.0,16.0,19293016.0,131072.0,1.0,0.0013609919548034667,0.005210400104522705,7.420944371737088e-07,False
random_brickwork,layers_8,1.0,20.0,137,24.0,396.0,76.0,8.0,63480.0,128.0,1.0,0.0008510400056838989,0.0028286080360412596,5.257737385137403e-07,False
random_brickwork,layers_16,2.0,20.0,137,48.0,792.0,152.0,16.0,29771704.0,32768.0,1.0,0.0016974079608917236,0.00672495985031128,1.3716867959538017e-06,False
qft,full,1.0,8.0,137,15.0,36.0,28.0,1.0,7744.0,64.0,1.0,0.00011343999952077865,0.00034915199875831603,1.7881393366003817e-07,True
qft,full,1.0,12.0,137,23.0,78.0,66.0,1.0,137792.0,1024.0,1.0,0.00021782399713993073,0.0008139839768409729,2.3841857810236202e-07,True
qft,full,1.0,16.0,137,31.0,136.0,120.0,1.0,1766032.0,8192.0,1.0,0.0004259519875049591,0.0018170239925384521,4.7683715698188026e-07,True
qft,full,1.0,20.0,137,39.0,210.0,190.0,1.0,56768432.0,65536.0,1.0,0.000692192018032074,0.003225759983062744,5.364418012021597e-07,False
