split,fold,family,circuit_variant,family_depth_multiplier,num_qubits,circuit_seed,actual_safe_complex64,predicted_safe_probability,selected_precision,relative_scalar_difference,selected_seconds
random_5fold_descriptive,0,qaoa_cycle,p_6,2.0,20.0,137,False,0.03461090131478372,complex128,4.7501859576787695e-06,0.0028339519500732422
random_5fold_descriptive,0,random_brickwork,layers_8,1.0,8.0,137,True,0.40498104560693116,complex128,2.557836323096331e-07,0.00111900794506073
random_5fold_descriptive,4,random_brickwork,layers_16,2.0,8.0,137,False,0.21961172396970086,complex128,7.526991404183562e-07,0.0022095038890838623
random_5fold_descriptive,3,random_brickwork,layers_8,1.0,12.0,137,False,0.76015754525194,complex128,7.468451428519191e-07,0.0016902079582214356
random_5fold_descriptive,3,random_brickwork,layers_16,2.0,12.0,137,False,0.14474120710452473,complex128,5.271669700280333e-07,0.0038290879726409913
random_5fold_descriptive,0,random_brickwork,layers_8,1.0,16.0,137,True,0.29693566498773755,complex128,4.3774365733636454e-07,0.0022585279941558837
random_5fold_descriptive,1,random_brickwork,layers_16,2.0,16.0,137,False,0.0607135808416778,complex128,7.420944371737088e-07,0.005210400104522705
random_5fold_descriptive,0,random_brickwork,layers_8,1.0,20.0,137,False,0.22671178809352313,complex128,5.257737385137403e-07,0.0028286080360412596
random_5fold_descriptive,4,random_brickwork,layers_16,2.0,20.0,137,False,0.062373097164692706,complex128,1.3716867959538017e-06,0.00672495985031128
random_5fold_descriptive,3,qft,full,1.0,8.0,137,True,0.6682572214806984,complex128,1.7881393366003817e-07,0.00034915199875831603
random_5fold_descriptive,0,qft,full,1.0,12.0,137,True,0.7613255235721224,complex128,2.3841857810236202e-07,0.0008139839768409729
random_5fold_descriptive,2,qft,full,1.0,16.0,137,True,0.636444070156525,complex128,4.7683715698188026e-07,0.0018170239925384521
random_5fold_descriptive,1,qft,full,1.0,20.0,137,False,0.35844461657903937,complex128,5.364418012021597e-07,0.003225759983062744
family_held_out,0,ghz,chain,1.0,8.0,42,True,0.4580081878935021,complex128,1.7114270947149224e-08,0.00016655999422073364
family_held_out,0,ghz,chain,1.0,12.0,42,True,0.5443730631493147,complex128,1.7114270947149224e-08,0.00024262399971485137
family_held_out,0,ghz,chain,1.0,16.0,42,True,0.5544120341351245,complex128,1.7114270947149224e-08,0.0003187839984893799
