family,fidelity_vs_dense,gate_count,logical_depth,mps_abs_cutoff_config,mps_max_bond_config,mps_svd_algo,mps_tensor_bytes,mps_tensor_count,mps_tensor_elements,observed_max_bond,precision,runtime_semantics,sample_first_s,sample_first_shots_observed,sample_warm_median_s,sample_warm_repeats,shots,simulator,state_first_s,state_warm_median_s,state_warm_repeats,statevector_bytes,status,target_name,two_qubit_gates,width
ghz,,20,20,1e-12,4,gesvdj,2432,20,152,2,fp64,CUDA-Q MPS get_state/sample wall-clock; first and warm calls separate; no queue/QPU time,0.035869342002115445,32,0.030144004998874152,"[0.030144004998874152, 0.02945271499993396]",32,tensornet_mps,0.00899527499859687,0.008644312001706567,"[0.008358407998457551, 0.008644312001706567]",16777216,ok,cudaq_tensornet_mps,19,20
ghz,,24,24,1e-12,4,gesvdj,2944,24,184,2,fp64,CUDA-Q MPS get_state/sample wall-clock; first and warm calls separate; no queue/QPU time,0.29204494199802866,32,0.2845736980016227,"[0.2841344749976997, 0.2845736980016227]",32,tensornet_mps,0.011346012997819344,0.009865617998002563,"[0.009865617998002563, 0.009762350000528386]",268435456,ok,cudaq_tensornet_mps,23,24
hea,0.9999925843482281,189,54,1e-12,4,gesvdj,6784,16,424,4,fp64,CUDA-Q MPS get_state/sample wall-clock; first and warm calls separate; no queue/QPU time,0.17495157799930894,32,0.17445401200166089,"[0.17445401200166089, 0.17313708499932545]",32,tensornet_mps,0.1902287709999655,0.15697118200114346,"[0.15697118200114346, 0.1558765180016053]",1048576,ok,cudaq_tensornet_mps,45,16
hea,,237,66,1e-12,4,gesvdj,8832,20,552,4,fp64,CUDA-Q MPS get_state/sample wall-clock; first and warm calls separate; no queue/QPU time,0.2683159070002148,32,0.2286446620018978,"[0.2286446620018978, 0.22765405500103952]",32,tensornet_mps,0.2030908519991499,0.20244908899985603,"[0.201580267999816, 0.20244908899985603]",16777216,ok,cudaq_tensornet_mps,57,20
hea,,285,78,1e-12,4,gesvdj,10880,24,680,4,fp64,CUDA-Q MPS get_state/sample wall-clock; first and warm calls separate; no queue/QPU time,0.5238210240022454,32,0.524362074000237,"[0.524362074000237, 0.5236324170000444]",32,tensornet_mps,0.24791290699795354,0.24843737999981386,"[0.2479271259981033, 0.24843737999981386]",268435456,ok,cudaq_tensornet_mps,69,24
qaoa_cycle,1.0000000000000022,64,49,1e-12,4,gesvdj,6784,16,424,4,fp64,CUDA-Q MPS get_state/sample wall-clock; first and warm calls separate; no queue/QPU time,0.24027611299970886,32,0.23961045800024294,"[0.23961045800024294, 0.2392620469981921]",32,tensornet_mps,0.25249658200118574,0.22206181499859667,"[0.22136276500168606, 0.22206181499859667]",1048576,ok,cudaq_tensornet_mps,32,16
qaoa_cycle,,80,61,1e-12,4,gesvdj,8832,20,552,4,fp64,CUDA-Q MPS get_state/sample wall-clock; first and warm calls separate; no queue/QPU time,0.30731351999929757,32,0.305660939997324,"[0.305660939997324, 0.3048976970021613]",32,tensornet_mps,0.2795745840012387,0.28120742600003723,"[0.28023271699930774, 0.28120742600003723]",16777216,ok,cudaq_tensornet_mps,40,20
qaoa_cycle,,96,73,1e-12,4,gesvdj,10880,24,680,4,fp64,CUDA-Q MPS get_state/sample wall-clock; first and warm calls separate; no queue/QPU time,0.6274352540021937,32,0.6311721519996354,"[0.6278056849987479, 0.6311721519996354]",32,tensornet_mps,0.35104078199947253,0.35074954999799957,"[0.35074954999799957, 0.3499320409973734]",268435456,ok,cudaq_tensornet_mps,48,24
random_brickwork,1.0000000000000004,60,8,1e-12,4,gesvdj,6784,16,424,4,fp64,CUDA-Q MPS get_state/sample wall-clock; first and warm calls separate; no queue/QPU time,0.07636835999801406,32,0.07519826499992632,"[0.07499606900091749, 0.07519826499992632]",32,tensornet_mps,0.09747279800285469,0.06822076299795299,"[0.06822076299795299, 0.05912234799689031]",1048576,ok,cudaq_tensornet_mps,28,16
random_brickwork,,76,8,1e-12,4,gesvdj,8832,20,552,4,fp64,CUDA-Q MPS get_state/sample wall-clock; first and warm calls separate; no queue/QPU time,0.10428571900047245,32,0.10159834699879866,"[0.10113290600202163, 0.10159834699879866]",32,tensornet_mps,0.07741420100137475,0.0760149800007639,"[0.0760149800007639, 0.07524565099811298]",16777216,ok,cudaq_tensornet_mps,36,20
