circuit_build_seconds,circuit_depth,circuit_gate_count,conversion_seconds,delta,expectation_value,max_terms,num_paulis,num_qubits,num_trotter_steps,observable,paper_track,propagation_seconds,python,rx_angle,rzz_angle,target_semantics,timestamp_utc,topology_edges,trial,truncated_norm,upstream_revision,log_target,log_trotter_steps,neg_log10_delta,configuration_group
0.005269528999633621,106,1096,0.07610598799965373,0.01,0.5000000000000001,800000,534,127,4,Z_62,SP-3_zero_setup_extension,0.04198485800043272,3.13.15,0.7853981633974483,-1.5707963267948966,local_cpu_seconds_of_propagate_through_rotation_gates_only,2026-09-20T03:05:19.272984+00:00,147,0,4.000000000000002,c4485f1c267410d291a717d05aa12d493559f337,-3.170446249502319,1.3862943611198906,2.0,4::0.01
0.005269528999633621,106,1096,0.07610598799965373,0.01,0.5000000000000001,800000,534,127,4,Z_62,SP-3_zero_setup_extension,0.007390923000457406,3.13.15,0.7853981633974483,-1.5707963267948966,local_cpu_seconds_of_propagate_through_rotation_gates_only,2026-09-20T03:05:19.272984+00:00,147,1,4.000000000000002,c4485f1c267410d291a717d05aa12d493559f337,-4.907502653247807,1.3862943611198906,2.0,4::0.01
0.005269528999633621,106,1096,0.07610598799965373,0.01,0.5000000000000001,800000,534,127,4,Z_62,SP-3_zero_setup_extension,0.0030816670005151536,3.13.15,0.7853981633974483,-1.5707963267948966,local_cpu_seconds_of_propagate_through_rotation_gates_only,2026-09-20T03:05:19.272984+00:00,147,2,4.000000000000002,c4485f1c267410d291a717d05aa12d493559f337,-5.782284594477421,1.3862943611198906,2.0,4::0.01
0.005269528999633621,106,1096,0.07610598799965373,0.005,0.5000000000000001,1200000,534,127,4,Z_62,SP-3_zero_setup_extension,0.003110320999439864,3.13.15,0.7853981633974483,-1.5707963267948966,local_cpu_seconds_of_propagate_through_rotation_gates_only,2026-09-20T03:05:19.272984+00:00,147,0,8.000000000000002,c4485f1c267410d291a717d05aa12d493559f337,-5.773029342863347,1.3862943611198906,2.3010299956639813,4::0.005
0.005269528999633621,106,1096,0.07610598799965373,0.005,0.5000000000000001,1200000,534,127,4,Z_62,SP-3_zero_setup_extension,0.003030890999980329,3.13.15,0.7853981633974483,-1.5707963267948966,local_cpu_seconds_of_propagate_through_rotation_gates_only,2026-09-20T03:05:19.272984+00:00,147,1,8.000000000000002,c4485f1c267410d291a717d05aa12d493559f337,-5.7988986432884015,1.3862943611198906,2.3010299956639813,4::0.005
0.005269528999633621,106,1096,0.07610598799965373,0.005,0.5000000000000001,1200000,534,127,4,Z_62,SP-3_zero_setup_extension,0.0030630029996245867,3.13.15,0.7853981633974483,-1.5707963267948966,local_cpu_seconds_of_propagate_through_rotation_gates_only,2026-09-20T03:05:19.272984+00:00,147,2,8.000000000000002,c4485f1c267410d291a717d05aa12d493559f337,-5.788359471822613,1.3862943611198906,2.3010299956639813,4::0.005
0.005269528999633621,106,1096,0.07610598799965373,0.001,0.4882812500000001,1800000,2582,127,4,Z_62,SP-3_zero_setup_extension,0.010061769000458298,3.13.15,0.7853981633974483,-1.5707963267948966,local_cpu_seconds_of_propagate_through_rotation_gates_only,2026-09-20T03:05:19.272984+00:00,147,0,9.424557364226045e-15,c4485f1c267410d291a717d05aa12d493559f337,-4.599012284793486,1.3862943611198906,3.0,4::0.001
0.005269528999633621,106,1096,0.07610598799965373,0.001,0.4882812500000001,1800000,2582,127,4,Z_62,SP-3_zero_setup_extension,0.009772686999895086,3.13.15,0.7853981633974483,-1.5707963267948966,local_cpu_seconds_of_propagate_through_rotation_gates_only,2026-09-20T03:05:19.272984+00:00,147,1,9.424557364226045e-15,c4485f1c267410d291a717d05aa12d493559f337,-4.6281638251622494,1.3862943611198906,3.0,4::0.001
0.005269528999633621,106,1096,0.07610598799965373,0.001,0.4882812500000001,1800000,2582,127,4,Z_62,SP-3_zero_setup_extension,0.009795803000088199,3.13.15,0.7853981633974483,-1.5707963267948966,local_cpu_seconds_of_propagate_through_rotation_gates_only,2026-09-20T03:05:19.272984+00:00,147,2,9.424557364226045e-15,c4485f1c267410d291a717d05aa12d493559f337,-4.625801250334507,1.3862943611198906,3.0,4::0.001
0.004551113999696099,174,2192,0.14050786100051482,0.01,0.3710937500000001,800000,200,127,8,Z_62,SP-3_zero_setup_extension,0.009931114000210073,3.13.15,0.7853981633974483,-1.5707963267948966,local_cpu_seconds_of_propagate_through_rotation_gates_only,2026-09-20T03:05:19.565235+00:00,147,0,66.69125595762466,c4485f1c267410d291a717d05aa12d493559f337,-4.612082621899123,2.0794415416798357,2.0,8::0.01
