split,model,n,log_mae,log_r2,mae_seconds,r2_seconds
configuration_group_5fold,median_train_log,36,1.6849410265357758,-0.34816289781264187,0.1840506699000072,-0.3112134392233181
configuration_group_5fold,ridge,36,0.9346381352895828,0.5208052216572676,0.11380421310703931,0.6060325554117569
configuration_group_5fold,hist_gradient_boosting,36,0.9075070654537739,0.3793002532206198,0.09890581004404171,0.6918231438565794
delta_held_out,median_train_log,36,1.730556009263902,-0.35533036598535106,0.18625614826885462,-0.31839800325304335
delta_held_out,ridge,36,1.0328427340271429,0.4574651863232716,0.16024493620064123,-0.04121005498258978
delta_held_out,hist_gradient_boosting,36,1.5431138528223955,0.0753583981194037,0.179080465161518,-0.23232867622267817
trotter_steps_held_out,median_train_log,36,1.6731991458646076,-0.4162995622805996,0.18380216808325006,-0.3218454461006959
trotter_steps_held_out,ridge,36,1.06864407788785,0.3737935085657075,0.12293983027396006,0.6065779658685805
trotter_steps_held_out,hist_gradient_boosting,36,0.8121016226207515,0.4418367551007273,0.10182168589821089,0.6739057758463316
