initialization,variant,rows,mae_seconds,rmse_seconds,r2_seconds,log_mae,log_rmse,log_r2
pretrained,full,340,0.5482880963998682,1.367399684163925,0.48652729850583976,0.055429579323699796,0.08673362619368366,0.861334047427018
pretrained,zero_node_type,340,0.7570046480964212,1.294943640346676,0.5395015813347821,0.07836128472431414,0.10902173283971162,0.7809107882742762
pretrained,zero_qubit_index,340,3.673637165742762,4.18689165770465,-3.814041778830201,0.4949258021859822,0.5474500624527175,-4.524383899321319
pretrained,zero_T1T2,340,0.5486972808837891,0.7467056826960446,0.8468823264188998,0.06122043339484632,0.08316148296792315,0.8725208138982719
pretrained,zero_node_index,340,0.6151484952253454,1.4616183510701255,0.4133293212004615,0.06232284189133946,0.09337824176068812,0.8392739705673755
pretrained,no_edges,340,5.2560002951061024,5.460274531009935,-7.1875764152443455,0.8117255499099002,0.8277887765439826,-11.630888434154297
pretrained,reverse_edges,340,0.6601082745720358,1.4578186642835635,0.4163756257404052,0.06634225637513178,0.0971688665924762,0.8259599875897022
pretrained,rewired_edges,340,1.8010284725357504,2.0531758354186205,-0.15765378885386583,0.2071467434363615,0.2286636407580961,0.036195256167478096
scratch,full,340,0.4782519817352295,0.6115034307629545,0.8973109337431967,0.05218685935893961,0.06848624052485301,0.9135427365559005
scratch,zero_node_type,340,0.8964244204408982,1.3997411994455684,0.4619509111297524,0.09921963786462037,0.15467899787249742,0.5589807655875244
scratch,zero_qubit_index,340,4.686231116336935,5.121986928061781,-6.204491619785331,0.7120090175014575,0.7668439097102089,-9.839488203197815
scratch,zero_T1T2,340,0.4755967981675092,0.6198227101629445,0.8944978334320315,0.05191635319721494,0.06933565404742204,0.9113848320699697
scratch,zero_node_index,340,0.5042834197773652,0.6381887985961818,0.8881528908791421,0.05493115008269006,0.0714603878208634,0.9058705395755382
scratch,no_edges,340,5.965152797278236,6.161058343736313,-9.424063587968751,0.9904689815595231,1.004268687558103,-17.590654310671724
scratch,reverse_edges,340,0.5984352855121389,0.7570406160230984,0.8426144812091451,0.06409770365636806,0.08165071462703159,0.8771104902025697
scratch,rewired_edges,340,0.6257657584022073,0.7759116928330679,0.8346702525643002,0.06892558621834192,0.08642708382174072,0.8623124885625627
