split,fold,model,n_train,n_test,mae_log,rmse_log,r2_log,mae_seconds,rmse_seconds,r2_seconds
random_row,42,median,72,24,2.5308137462376674,2.8924485017357386,-0.00643537341283551,2.334407297649646,4.81160827577561,-0.28065467626710494
random_row,42,ridge_log,72,24,0.603909718221928,0.6744045239872702,0.9452863646353209,0.7628296316575424,1.7715911843533885,0.8263884820407706
random_row,42,hist_gradient_log,72,24,0.2805608418676008,0.3976216892226743,0.9809806901415604,0.2820104696787646,0.7509741479835882,0.9688038150137169
circuit_group,1,median,72,24,2.0551892288800864,2.641034282017465,-0.09314380079073081,2.2024739905271535,6.091273593339438,-0.1456023430035298
circuit_group,1,ridge_log,72,24,0.7696285614260873,0.9336863884869221,0.8633746541843577,2.388178650322293,8.868204255876837,-1.4282257199932058
circuit_group,1,hist_gradient_log,72,24,0.46371628925668534,0.556539437013898,0.951457615300037,1.0182869887771733,2.825401693871578,0.7535220447432556
circuit_group,2,median,72,24,2.7047129039470916,3.0119015058767244,-0.03368539820510841,1.1476963153993611,2.3445986291621437,-0.25394033536625926
circuit_group,2,ridge_log,72,24,0.570520911327666,0.6557727180298751,0.9509980300150209,0.40113601972920376,0.8498244681203048,0.8352602808308427
circuit_group,2,hist_gradient_log,72,24,0.5561480025809115,0.7013373851018683,0.9439519083919732,0.6402124039171263,1.360604488100383,0.5777169424210815
circuit_group,3,median,72,24,2.4832974083179447,2.978648195769839,-0.2346988772811598,2.226644617645051,4.357089393768733,-0.3403997793941256
circuit_group,3,ridge_log,72,24,0.6619967565732264,0.7492289236209815,0.9218818952521528,1.0968088943985972,2.056623274358963,0.7013579902672971
circuit_group,3,hist_gradient_log,72,24,0.4448431015407399,0.7040462804137687,0.9310197053027965,0.5744073942205851,1.4364808685352757,0.8543061903472264
circuit_group,4,median,72,24,2.4050106651177963,2.9294829588253886,-0.12260795551869363,2.599616272583565,5.696649588866308,-0.25348552277907177
circuit_group,4,ridge_log,72,24,0.7140366007813196,0.8230062058233809,0.9113961927681787,1.5825417760889877,3.4248613183340004,0.5469289725434514
circuit_group,4,hist_gradient_log,72,24,0.25888423527573207,0.3818707319494396,0.9809243690867766,1.2288020145314225,3.137732761631477,0.6197123560022241
family_held_out,1,median,84,12,2.7471582022818364,3.13332825828148,-0.4995683039150318,0.2754091581075003,0.4759833985254773,-0.06814839287017693
family_held_out,1,ridge_log,84,12,1.2548188896638814,1.431119870294092,0.687171375761843,0.35329691459773654,0.8233311171541221,-2.195928387821259
family_held_out,1,hist_gradient_log,84,12,1.4825511309000134,1.5634284218540195,0.6266548903725591,0.916505225361957,1.8633629263982918,-15.369781450043192
family_held_out,2,median,72,24,2.3517174799019647,2.7616628365238616,-0.0611078291049123,1.5986321497506044,3.411576034966925,-0.26268344995447834
family_held_out,2,ridge_log,72,24,0.7131280473506857,0.8327500294787402,0.903517728205149,0.9561793298829356,2.0129467243656816,0.5604088507012142
family_held_out,2,hist_gradient_log,72,24,0.2352394260820038,0.33461066775265375,0.9844224995417732,0.30694211815099526,0.7984816797555673,0.9308305550651548
family_held_out,3,median,72,24,2.3393283922469683,2.7889456683031937,-0.089156016426164,1.7222764540194893,3.7496108489689792,-0.2529752658825448
family_held_out,3,ridge_log,72,24,1.292183893755914,1.5004022068590561,0.684771572371541,1.4810039096126086,3.2877424070197394,0.0366908827430098
family_held_out,3,hist_gradient_log,72,24,0.3092628506196966,0.3637944976170819,0.981468002226119,0.7266662863064018,1.6628016478157408,0.7535941602719642
family_held_out,4,median,84,12,2.5087631856389874,3.0342560941127568,-0.1651359819851319,3.0195341105401514,6.587938607289185,-0.25831138204108206
family_held_out,4,ridge_log,84,12,0.5312501951665526,0.6702509251905012,0.9431478369393075,0.7659181587038247,1.8171188271768788,0.9042683168769694
family_held_out,4,hist_gradient_log,84,12,1.0721018025220228,1.1587133631528606,0.8300879499190614,2.3237015374385326,4.998313134415384,0.2756708572693175
family_held_out,5,median,72,24,2.4528637738480477,3.084470710556512,-0.29072794348326925,3.2189472721987396,6.826411209191137,-0.27993572750816775
family_held_out,5,ridge_log,72,24,0.7428492384160409,0.8656756138705829,0.8983321175122118,2.9771917135022155,10.151219407877285,-1.8303471081643332
family_held_out,5,hist_gradient_log,72,24,0.303935629917123,0.4169374468060086,0.9764161221788654,1.0067730027253017,2.6114877703247883,0.812682107402728
width_held_out,1,median,64,32,3.853005247398701,3.979470341941887,-14.987509724402287,0.3554644791134308,0.35555577357572077,-1946.5520078016257
width_held_out,1,ridge_log,64,32,1.2713520591609382,1.4285365685122935,-1.0602171653163381,0.006690095993409462,0.009100409892495085,-0.2758379064697756
width_held_out,1,hist_gradient_log,64,32,2.233966802171411,2.3771228394748625,-4.7047094038579855,0.174844367227743,0.2764581321148184,-1176.4225045451633
width_held_out,2,median,64,32,1.4575897703165062,1.7476647347999443,-0.2577015152129971,0.15902628032794092,0.25618888905253273,-0.49308122236325236
width_held_out,2,ridge_log,64,32,0.8517173924233428,0.9643153652798806,0.6170875282302808,0.13171614696519326,0.1946784424173562,0.13781874080314904
width_held_out,2,hist_gradient_log,64,32,2.0913570059774313,2.265776572551007,-1.1139538517689798,0.1674481414974032,0.26364581131455245,-0.5812648041773198
width_held_out,3,median,64,32,4.995274075517742,5.258171194437936,-9.25684515201471,5.966372994474698,8.423499452437001,-1.0067840992716182
width_held_out,3,ridge_log,64,32,1.3563050469207565,1.5532479658973601,0.10499400829876504,4.611227826145852,6.345796288548498,-0.13890578785505014
width_held_out,3,hist_gradient_log,64,32,3.539593908692403,3.605345909763385,-3.822122437957007,5.804564401724818,8.188422486994003,-0.8963392403361994
context_held_out,1,median,72,24,2.878652470701226,3.5499156432252574,-0.6701605187324298,4.167447468019432,8.039473940957219,-0.36403235970351466
context_held_out,1,ridge_log,72,24,1.2502627035583933,1.343451447859193,0.7607972884151933,5.058648463013476,11.24243689714627,-1.6674133902201236
context_held_out,1,hist_gradient_log,72,24,0.4868522816420236,0.56010604717828,0.9584220885335286,1.9682668525826479,3.8700488193995675,0.6839161570482679
context_held_out,2,median,72,24,2.43883495398196,2.69913880090265,-0.0024817159416967716,2.0986921884493017,4.050299515478762,-0.29691795148797473
context_held_out,2,ridge_log,72,24,1.3646182572349534,1.5761486590923646,0.6581619697253202,1.8104307845989374,3.5658619858094642,-0.005234260368392363
context_held_out,2,hist_gradient_log,72,24,1.7172359099006311,1.8693192259533684,0.519168435929473,1.9616376913607683,3.8950287910775443,-0.19938763174163454
context_held_out,3,median,72,24,2.530122260622708,3.0040745419731074,-0.3400186790443531,1.8160874730072558,3.580391305657152,-0.335604013231229
context_held_out,3,ridge_log,72,24,1.3810976912300612,1.4332661517599259,0.694969594774349,1.438062379544542,2.8252108765113064,0.16839236734439034
context_held_out,3,hist_gradient_log,72,24,1.3801102176465765,1.6557461057666822,0.5929226609455043,1.6356636037102457,3.3511325240396985,-0.1700379096234954
context_held_out,4,median,72,24,2.6372449455206737,3.092155498173517,-1.1225687463574165,0.17275064293075712,0.19642055069463768,-0.09399484794989155
context_held_out,4,ridge_log,72,24,1.4820498641870776,1.6593158421585956,0.38878045502382064,0.6815258925837672,1.4157209042829053,-55.83249439189278
context_held_out,4,hist_gradient_log,72,24,1.87833078285459,1.9856498461120153,0.12472515551512431,1.6080144542637125,3.2403314430069665,-296.7284237839423
