split,model,folds,n_test,mae_log,rmse_log,r2_log,mae_seconds,rmse_seconds,r2_seconds
circuit_group,hist_gradient_log,4,96,0.4308979071635172,0.6006489602041563,0.9534429989896045,0.8654272003615767,2.331468607651336,0.721380544828299
circuit_group,median,4,96,2.4120525515657296,2.893995000000227,-0.08078445850233917,2.0441077990387826,4.84862870419065,-0.20500861164298412
circuit_group,ridge_log,4,96,0.6790457075270749,0.7969459399125033,0.9180401296087802,1.36716633513477,4.88176767915638,-0.2215366722798653
context_held_out,hist_gradient_log,4,96,1.3656322980109554,1.6195966805605326,0.6615010747908014,1.7933956504793436,3.601331843987557,0.335219033461428
context_held_out,median,4,96,2.6212136577066416,3.101336035451868,-0.24119834796655848,2.0637444431016867,4.844993558994124,-0.20320243530337345
context_held_out,ridge_log,4,96,1.3695071290526215,1.5080357517423797,0.706527904250428,2.247166879935181,6.105199449316506,-0.9105218413245861
family_held_out,hist_gradient_log,5,96,0.5314410933324604,0.7601990058735338,0.9254241636189869,0.9151211971457358,2.472345974980667,0.6866925051360864
family_held_out,median,5,96,2.4429675849893484,2.9339046992475737,-0.11079916230189957,2.046831877573165,4.8505687863017295,-0.20597312491424624
family_held_out,ridge_log,5,96,0.9102989304844643,1.1116141254195664,0.8405400396995981,1.4934956224121352,5.47490542377657,-0.5364043812056134
random_row,hist_gradient_log,1,24,0.2805608418676008,0.3976216892226743,0.9809806901415604,0.2820104696787646,0.7509741479835882,0.9688038150137169
random_row,median,1,24,2.5308137462376674,2.8924485017357386,-0.00643537341283551,2.334407297649646,4.81160827577561,-0.28065467626710494
random_row,ridge_log,1,24,0.603909718221928,0.6744045239872702,0.9452863646353209,0.7628296316575424,1.7715911843533885,0.8263884820407706
width_held_out,hist_gradient_log,3,96,2.621639238947082,2.8156097977597194,-0.02303024553674682,2.0489523034833215,4.73273004505663,-0.1480895401111202
width_held_out,median,3,96,3.4352896977443166,3.938649537496971,-1.0018808068751772,2.160287917972023,4.869886914505082,-0.2155981963953506
width_held_out,ridge_log,3,96,1.1597914995016791,1.3395521757731865,0.7684403916691368,1.5832113563681514,3.6654746418055306,0.31132751303090234
