split,model,n,log_mae,log_rmse,log_r2,mae_ms,rmse_ms,r2_ms
random_5fold_descriptive,median_train_log,90,0.9103744570564827,1.1917000755036866,-0.11189023381621777,193.1179967654872,423.1948173125812,-0.1706783186886427
random_5fold_descriptive,ridge,90,0.34921974855571497,0.3980881834283795,0.8759243511792563,86.66964647493086,191.42384963887875,0.7604760273743195
random_5fold_descriptive,random_forest,90,0.12531335409585623,0.19094058172042222,0.9714553669329511,56.66264835807993,153.74717273636384,0.845484813362644
random_5fold_descriptive,hist_gradient_boosting,90,0.03981129715030153,0.0837767720156029,0.994504904718412,11.37561530850855,31.60402094966304,0.9934710765550218
circuit_group_5fold,median_train_log,90,0.8975410449174615,1.1715989620973928,-0.07469675733584857,192.07981398202813,421.5711743090191,-0.16171262573541623
circuit_group_5fold,ridge,90,0.3538998787110973,0.411205488261672,0.8676128640326028,91.44973740009017,211.9134617586062,0.7064554737961528
circuit_group_5fold,random_forest,90,0.1800456310193458,0.2677799838446008,0.9438584751846156,78.1566627020734,216.43474576041368,0.6937960005293073
circuit_group_5fold,hist_gradient_boosting,90,0.13058540371739302,0.1936466757373121,0.970640539290605,56.41339134566403,138.3911889997761,0.8748088077195479
family_held_out,median_train_log,90,0.9460930139420346,1.222518103953222,-0.17014203379527904,195.57837472808103,424.79658304883606,-0.17955697697609052
family_held_out,ridge,90,1.0217554460682023,1.5909556926575015,-0.9817284845310357,144.63586177146937,332.0000541935041,0.27950129680311064
family_held_out,random_forest,90,0.5069485541017209,0.6679043490042635,0.6507338277314398,130.12847109915327,322.25109212771434,0.3211939724471009
family_held_out,hist_gradient_boosting,90,0.31453329171819566,0.3659141902058235,0.895169782811483,60.53639107164356,126.92094471141874,0.8947011843835322
width_held_out,median_train_log,90,1.0105170698668127,1.2921207857634274,-0.30717642765524134,201.16516418787108,428.04138139977204,-0.197645834238932
width_held_out,ridge,90,0.42772980196969446,0.5007065015221271,0.8037116866899017,104.88756298533804,240.2533614750553,0.6226921509651779
width_held_out,random_forest,90,0.3368934398286742,0.4704848666376458,0.8266917250957071,113.37566359020137,258.7721234363825,0.5622845527115476
width_held_out,hist_gradient_boosting,90,0.2889080058590063,0.39840772690572346,0.8757250813773182,100.51200175971547,233.26964915249076,0.6443085985323794
