cudaq_target,family,first_sample_s,first_shots_observed,gate_count,logical_depth,precision,runtime_semantics,shots,simulator,statevector_bytes,status,target_name,two_qubit_gates,warm_sample_max_s,warm_sample_median_s,warm_sample_min_s,warm_sample_repeats,width
nvidia,ghz,0.002122244999554823,32,20,20,fp64,CUDA-Q sample wall-clock; first and warm calls separate; no queue/QPU time,32,nvidia,16777216,ok,gpu_fp64,19,0.0019550720007828204,0.0019470569986879127,0.0019429710009717382,"[0.0019550720007828204, 0.0019470569986879127, 0.0019429710009717382]",20
nvidia,ghz,0.03210007399866299,32,24,24,fp64,CUDA-Q sample wall-clock; first and warm calls separate; no queue/QPU time,32,nvidia,268435456,ok,gpu_fp64,23,0.03177757499906875,0.03173676400001568,0.03155981000054453,"[0.03177757499906875, 0.03155981000054453, 0.03173676400001568]",24
nvidia,ghz,0.5841015639998659,32,28,28,fp64,CUDA-Q sample wall-clock; first and warm calls separate; no queue/QPU time,32,nvidia,4294967296,ok,gpu_fp64,27,0.581779001000541,0.5801665559993125,0.579881646001013,"[0.579881646001013, 0.581779001000541, 0.5801665559993125]",28
nvidia,hea,0.0015632779995939927,32,189,54,fp64,CUDA-Q sample wall-clock; first and warm calls separate; no queue/QPU time,32,nvidia,1048576,ok,gpu_fp64,45,0.0012138260008214274,0.0011835650002467446,0.0011565139993763296,"[0.0012138260008214274, 0.0011835650002467446, 0.0011565139993763296]",16
nvidia,hea,0.005045384001277853,32,237,66,fp64,CUDA-Q sample wall-clock; first and warm calls separate; no queue/QPU time,32,nvidia,16777216,ok,gpu_fp64,57,0.0048294709995388985,0.004740324000522378,0.0047279329992306884,"[0.004740324000522378, 0.0048294709995388985, 0.0047279329992306884]",20
nvidia,hea,0.07590882099975715,32,285,78,fp64,CUDA-Q sample wall-clock; first and warm calls separate; no queue/QPU time,32,nvidia,268435456,ok,gpu_fp64,69,0.07635274099993694,0.07632330600063142,0.07608318600068742,"[0.07608318600068742, 0.07635274099993694, 0.07632330600063142]",24
nvidia,hea,1.3827573700000357,32,333,90,fp64,CUDA-Q sample wall-clock; first and warm calls separate; no queue/QPU time,32,nvidia,4294967296,ok,gpu_fp64,81,1.3838999519994104,1.3828326029997697,1.3817643410002347,"[1.3817643410002347, 1.3838999519994104, 1.3828326029997697]",28
nvidia,qaoa_cycle,0.001835000999562908,32,64,49,fp64,CUDA-Q sample wall-clock; first and warm calls separate; no queue/QPU time,32,nvidia,1048576,ok,gpu_fp64,32,0.0006656770001427503,0.0006495030011137715,0.0006244060004974017,"[0.0006656770001427503, 0.0006495030011137715, 0.0006244060004974017]",16
nvidia,qaoa_cycle,0.0030851000010443386,32,80,61,fp64,CUDA-Q sample wall-clock; first and warm calls separate; no queue/QPU time,32,nvidia,16777216,ok,gpu_fp64,40,0.002359361998969689,0.002204274000177975,0.002188286000091466,"[0.002188286000091466, 0.002204274000177975, 0.002359361998969689]",20
nvidia,qaoa_cycle,0.03667784100071003,32,96,73,fp64,CUDA-Q sample wall-clock; first and warm calls separate; no queue/QPU time,32,nvidia,268435456,ok,gpu_fp64,48,0.037195006998445024,0.03685841299920867,0.03658733299926098,"[0.03658733299926098, 0.03685841299920867, 0.037195006998445024]",24
nvidia,qaoa_cycle,0.5929654659994412,32,112,85,fp64,CUDA-Q sample wall-clock; first and warm calls separate; no queue/QPU time,32,nvidia,4294967296,ok,gpu_fp64,56,0.5948641909999424,0.594649455999388,0.5941186920008477,"[0.594649455999388, 0.5941186920008477, 0.5948641909999424]",28
nvidia,random_brickwork,0.0011418630001571728,32,60,8,fp64,CUDA-Q sample wall-clock; first and warm calls separate; no queue/QPU time,32,nvidia,1048576,ok,gpu_fp64,28,0.0008699840000190306,0.0008661259998916648,0.0008621559991297545,"[0.0008699840000190306, 0.0008621559991297545, 0.0008661259998916648]",16
nvidia,random_brickwork,0.003738915000212728,32,76,8,fp64,CUDA-Q sample wall-clock; first and warm calls separate; no queue/QPU time,32,nvidia,16777216,ok,gpu_fp64,36,0.0038193849995877827,0.0036614649998227833,0.0036262079993321095,"[0.0038193849995877827, 0.0036262079993321095, 0.0036614649998227833]",20
nvidia,random_brickwork,0.05951882400040631,32,92,8,fp64,CUDA-Q sample wall-clock; first and warm calls separate; no queue/QPU time,32,nvidia,268435456,ok,gpu_fp64,44,0.05982363299881399,0.05958286900022358,0.059361382000133744,"[0.05982363299881399, 0.05958286900022358, 0.059361382000133744]",24
nvidia,random_brickwork,1.0520631629988202,32,108,8,fp64,CUDA-Q sample wall-clock; first and warm calls separate; no queue/QPU time,32,nvidia,4294967296,ok,gpu_fp64,52,1.0512704180000583,1.0512046069998178,1.0510277879984642,"[1.0510277879984642, 1.0512046069998178, 1.0512704180000583]",28
