source,runtime_semantics,observation_unit,target_name,family,circuit_variant,family_depth_multiplier,family_depth_parameter,num_qubits,logical_depth,logical_total_gate_count,logical_single_qubit_gate_count,logical_two_qubit_gate_count,precision,optimizer_cost_function,cutensornet_runtime_est_s,cutensornet_effective_flops_est,cutensornet_flop_count,cutensornet_largest_intermediate_elements,cutensornet_num_slices,tensor_network_build_s,path_optimization_s,first_contract_gpu_s,contract_gpu_median_s,contract_gpu_mean_s,contract_gpu_min_s,contract_gpu_max_s,contract_gpu_stdev_s,end_to_end_first_s,warmups,repeats,seed,gpu_name,gpu_compute_capability,gpu_memory_bytes,feasibility_status,cell_timeout_s
cutensornet,T_sim_contract: local GPU tensor-network scalar contraction,one circuit-derived tensor-network contraction plan,contract_gpu_median_s,hea,layers_8,2.0,8,20,24,396,320,76,complex64,TIME_TUNED,0.00435006414525,87001282905.0,62960.0,256.0,1,0.007383891999779735,0.07407815999977174,0.003197664022445679,0.0008577600121498108,0.0008598079919815065,0.0008380159735679627,0.0008874239921569825,2.1418729550917085e-05,0.34356315602271936,2,5,42,NVIDIA GeForce RTX 5070 Ti,12.0,16608788480,ok,60.0
cutensornet,T_sim_contract: local GPU tensor-network scalar contraction,one circuit-derived tensor-network contraction plan,contract_gpu_median_s,hea,layers_2,0.5,2,24,6,119,96,23,complex64,TIME_TUNED,0.00166000894725,33200178945.0,3812.0,16.0,1,0.0035063449995504925,0.01975010000023758,0.0022146239280700685,0.0003707520067691803,0.0003881088018417358,0.0003613120019435883,0.0004755200147628784,4.909229716881271e-05,0.28022404592781097,2,5,42,NVIDIA GeForce RTX 5070 Ti,12.0,16608788480,ok,60.0
cutensornet,T_sim_contract: local GPU tensor-network scalar contraction,one circuit-derived tensor-network contraction plan,contract_gpu_median_s,hea,layers_4,1.0,4,24,12,238,192,46,complex64,TIME_TUNED,0.00285002103725,57000420745.0,10464.0,32.0,1,0.0047821930002101,0.03740719800043735,0.0025222721099853514,0.0005657920241355897,0.0005729536056518555,0.0005478079915046691,0.0006204800009727478,2.8682528439741866e-05,0.2982233811102051,2,5,42,NVIDIA GeForce RTX 5070 Ti,12.0,16608788480,ok,60.0
cutensornet,T_sim_contract: local GPU tensor-network scalar contraction,one circuit-derived tensor-network contraction plan,contract_gpu_median_s,hea,layers_8,2.0,8,24,24,476,384,92,complex64,TIME_TUNED,0.00523007691125,104601538225.0,75008.0,128.0,1,0.008471508999718935,0.0974805389996618,0.0031439359188079833,0.0010735679864883423,0.0010870336055755615,0.0009311360120773316,0.0013129279613494874,0.00014167165469663095,0.3660906229185566,2,5,42,NVIDIA GeForce RTX 5070 Ti,12.0,16608788480,ok,60.0
cutensornet,T_sim_contract: local GPU tensor-network scalar contraction,one circuit-derived tensor-network contraction plan,contract_gpu_median_s,hea,layers_2,0.5,2,28,6,139,112,27,complex64,TIME_TUNED,0.00194001045525,38800209105.0,4452.0,16.0,1,0.0032323610003004433,0.023632804999579093,0.0024051520824432374,0.0004095999896526337,0.0003981567978858948,0.0003739840090274811,0.000413567990064621,1.8120087878668697e-05,0.28712740308239154,2,5,42,NVIDIA GeForce RTX 5070 Ti,12.0,16608788480,ok,60.0
cutensornet,T_sim_contract: local GPU tensor-network scalar contraction,one circuit-derived tensor-network contraction plan,contract_gpu_median_s,hea,layers_4,1.0,4,28,12,278,224,54,complex64,TIME_TUNED,0.00333002465125,66600493025.0,12272.0,32.0,1,0.00602049699955387,0.043637622999995074,0.0026607680320739745,0.0006862720251083374,0.0006900480151176453,0.0006589440107345581,0.0007240319848060608,2.349404944791664e-05,0.30974725003223286,2,5,42,NVIDIA GeForce RTX 5070 Ti,12.0,16608788480,ok,60.0
cutensornet,T_sim_contract: local GPU tensor-network scalar contraction,one circuit-derived tensor-network contraction plan,contract_gpu_median_s,hea,layers_8,2.0,8,28,24,556,448,108,complex64,TIME_TUNED,0.00611009154925,122201830985.0,91920.0,128.0,1,0.009951101000297058,0.1303716260008514,0.00362774395942688,0.0011838079690933228,0.0011883327960968018,0.0011771199703216552,0.0012149440050125122,1.5195842094702896e-05,0.4049721629598789,2,5,42,NVIDIA GeForce RTX 5070 Ti,12.0,16608788480,ok,60.0
cutensornet,T_sim_contract: local GPU tensor-network scalar contraction,one circuit-derived tensor-network contraction plan,contract_gpu_median_s,hea,layers_2,0.5,2,30,6,149,120,29,complex64,TIME_TUNED,0.00208001120925,41600224185.0,4772.0,16.0,1,0.0034097560001100646,0.02489784400040662,0.0023811841011047363,0.00044342398643493653,0.00043768320083618163,0.0004059520065784454,0.000473471999168396,2.7430703320495447e-05,0.2854541871011315,2,5,42,NVIDIA GeForce RTX 5070 Ti,12.0,16608788480,ok,60.0
cutensornet,T_sim_contract: local GPU tensor-network scalar contraction,one circuit-derived tensor-network contraction plan,contract_gpu_median_s,hea,layers_4,1.0,4,30,12,298,240,58,complex64,TIME_TUNED,0.00357002645825,71400529165.0,13176.0,32.0,1,0.005950458000370418,0.04671018799945159,0.00275926399230957,0.0006872000098228455,0.0006933504104614258,0.0006812800168991089,0.0007265920042991639,1.876083180109997e-05,0.3110952129924481,2,5,42,NVIDIA GeForce RTX 5070 Ti,12.0,16608788480,ok,60.0
cutensornet,T_sim_contract: local GPU tensor-network scalar contraction,one circuit-derived tensor-network contraction plan,contract_gpu_median_s,hea,layers_8,2.0,8,30,24,596,480,116,complex64,TIME_TUNED,0.00655010136425,131002027285.0,101528.0,256.0,1,0.010316332000002149,0.1358447239999805,0.003514336109161377,0.0013398720026016235,0.0013529664278030397,0.001333888053894043,0.0014047679901123048,2.9634791754777254e-05,0.40891020510929227,2,5,42,NVIDIA GeForce RTX 5070 Ti,12.0,16608788480,ok,60.0
