split,model,n_test_total,log_mae,log_rmse,log_r2,seconds_mae,seconds_rmse,seconds_r2
random_5fold_descriptive,median_train_log,55,0.6459374946479614,0.8459812141020716,-0.10111793251952839,0.0005723779712256251,0.0011606141952470825,-0.11868478644619129
random_5fold_descriptive,native_runtime_est_b0,55,1.478701467970888,1.5082061416854071,-2.499724091219333,0.0026454896551456383,0.0033766933580549317,-8.469242159380592
random_5fold_descriptive,median_ratio_calibrated_b0,55,0.11998839946707145,0.30258940303368287,0.8591295745501982,0.0002124990693811725,0.000870129271739321,0.3712188211555443
random_5fold_descriptive,ridge_b1,55,0.09110275642049598,0.1496033702184433,0.9655653913394595,0.00014897798622141427,0.0004634694419746738,0.8216084882528634
random_5fold_descriptive,hist_gradient_boosting_b1,55,0.1375703464001526,0.2288312982695409,0.9194355871615764,0.00019899822394053352,0.0006230821098013609,0.6775795799520425
family_held_out,median_train_log,55,0.6950812419065996,0.8971091457503266,-0.23823468606984965,0.000600446353929398,0.001179199785037431,-0.15479995572667504
family_held_out,native_runtime_est_b0,55,1.478701467970888,1.5082061416854071,-2.499724091219333,0.0026454896551456383,0.0033766933580549317,-8.469242159380592
family_held_out,median_ratio_calibrated_b0,55,0.13115749193056453,0.3083147723252983,0.853748252360089,0.00022242950418161056,0.0008748136410283263,0.3644304696210138
family_held_out,ridge_b1,55,0.24723739563515493,0.37313318338623175,0.7857898014330063,0.00039439399990911833,0.001023960373350401,0.12924039050157743
family_held_out,hist_gradient_boosting_b1,55,0.2529236777242857,0.41234420201192895,0.7384033478116774,0.0002927366393118176,0.0008574262502886802,0.38944396737844367
width_held_out,median_train_log,55,0.6439055554294112,0.8456618319564211,-0.10028668232651516,0.0005711415624088851,0.001163297085116507,-0.12386269487268775
width_held_out,native_runtime_est_b0,55,1.478701467970888,1.5082061416854071,-2.499724091219333,0.0026454896551456383,0.0033766933580549317,-8.469242159380592
width_held_out,median_ratio_calibrated_b0,55,0.1207949193260168,0.30231155351110184,0.8593881613332164,0.00021420321761090905,0.0008695373978515189,0.37207394142122185
width_held_out,ridge_b1,55,0.08935650313759369,0.14987591170466646,0.9654398138489193,0.00015138540908432946,0.0004662234058198984,0.8194821629844616
width_held_out,hist_gradient_boosting_b1,55,0.13185385407886355,0.2010792338241998,0.9377919138065387,0.00018989614260380124,0.0006084009327344866,0.6925944399990286
variant_held_out,median_train_log,55,0.7288609352620508,0.9098580101182504,-0.273677986554689,0.0006214415914540048,0.0011812032521428776,-0.15872731251041827
variant_held_out,native_runtime_est_b0,55,1.478701467970888,1.5082061416854071,-2.499724091219333,0.0026454896551456383,0.0033766933580549317,-8.469242159380592
variant_held_out,median_ratio_calibrated_b0,55,0.12689881171938505,0.3074058934138386,0.8546092503828197,0.0002185370177746398,0.0008744078528879342,0.3650199591988771
variant_held_out,ridge_b1,55,0.23005584418248062,0.3634444249873422,0.7967697178942484,0.0003796745021052887,0.0010096773589148723,0.1533630641962337
variant_held_out,hist_gradient_boosting_b1,55,0.26490621261818376,0.4105545184788567,0.740669218004324,0.0003221737101932722,0.0008660859582072158,0.3770488802472661
