circuit_id,family,source_file,source_sha256,backend_class,backend_name,optimization_level,shots,seed_transpiler,seed_simulator,logical_width,logical_depth,logical_ops,logical_two_qubit_ops,physical_width,physical_depth,physical_ops,physical_two_qubit_ops,swap_count,dag_node_count,t_transpile_s,t_exec_s,t_total_s,status,error
grover-noancilla::grover-noancilla_indep_qiskit_8,grover-noancilla,data/quantum_circuits/grover-noancilla_indep_qiskit_8.qasm,a3b7d67bad6cd47cb522addfaf763294b1ea99017f443c03052055a2f0074009,FakeWashingtonV2,fake_washington,1,1024,1234,1234,8,3034,3153,3024,127,10177,14138,9224,0,14138,0.028383269000187283,4.7332975110002735,4.761680780000461,ok,
grover-noancilla::grover-noancilla_indep_qiskit_8,grover-noancilla,data/quantum_circuits/grover-noancilla_indep_qiskit_8.qasm,a3b7d67bad6cd47cb522addfaf763294b1ea99017f443c03052055a2f0074009,FakeWashingtonV2,fake_washington,2,1024,1234,1234,8,3034,3153,3024,127,11127,17052,7160,0,17052,0.134845177999523,4.830395181999847,4.96524035999937,ok,
grover-noancilla::grover-noancilla_indep_qiskit_8,grover-noancilla,data/quantum_circuits/grover-noancilla_indep_qiskit_8.qasm,a3b7d67bad6cd47cb522addfaf763294b1ea99017f443c03052055a2f0074009,FakeWashingtonV2,fake_washington,3,1024,1234,1234,8,3034,3153,3024,127,10896,16777,7301,0,16777,0.12119515800077352,3.4640191110011074,3.585214269001881,ok,
grover-v-chain::grover-v-chain_indep_qiskit_7,grover-v-chain,data/quantum_circuits/grover-v-chain_indep_qiskit_7.qasm,84056291d9ff227b3c615cc378349fa1154f5a122bcd0eb6bc04045bbf3affa0,FakeWashingtonV2,fake_washington,0,1024,1234,1234,7,271,318,244,127,1502,2016,1304,0,2016,0.009737749000123586,0.9845263160004833,0.9942640650006069,ok,
grover-v-chain::grover-v-chain_indep_qiskit_7,grover-v-chain,data/quantum_circuits/grover-v-chain_indep_qiskit_7.qasm,84056291d9ff227b3c615cc378349fa1154f5a122bcd0eb6bc04045bbf3affa0,FakeWashingtonV2,fake_washington,1,1024,1234,1234,7,271,318,244,127,1030,1479,834,0,1479,0.011351930001183064,0.9579641749987786,0.9693161049999617,ok,
grover-v-chain::grover-v-chain_indep_qiskit_7,grover-v-chain,data/quantum_circuits/grover-v-chain_indep_qiskit_7.qasm,84056291d9ff227b3c615cc378349fa1154f5a122bcd0eb6bc04045bbf3affa0,FakeWashingtonV2,fake_washington,2,1024,1234,1234,7,271,318,244,127,1114,1681,702,0,1681,0.019240986999648158,0.8421171409991075,0.8613581279987557,ok,
grover-v-chain::grover-v-chain_indep_qiskit_7,grover-v-chain,data/quantum_circuits/grover-v-chain_indep_qiskit_7.qasm,84056291d9ff227b3c615cc378349fa1154f5a122bcd0eb6bc04045bbf3affa0,FakeWashingtonV2,fake_washington,3,1024,1234,1234,7,271,318,244,127,1114,1681,702,0,1681,0.020757336000315263,0.9215328669997689,0.9422902030000841,ok,
portfolioqaoa::portfolioqaoa_indep_qiskit_8,portfolioqaoa,data/quantum_circuits/portfolioqaoa_indep_qiskit_8.qasm,2372d3228c3e3e38e3351feb553380bce5a543c936f73a400de0e54ab470599a,FakeWashingtonV2,fake_washington,0,1024,1234,1234,8,35,134,84,127,319,678,432,0,678,0.006299085000136984,0.5784892669998953,0.5847883520000323,ok,
portfolioqaoa::portfolioqaoa_indep_qiskit_8,portfolioqaoa,data/quantum_circuits/portfolioqaoa_indep_qiskit_8.qasm,2372d3228c3e3e38e3351feb553380bce5a543c936f73a400de0e54ab470599a,FakeWashingtonV2,fake_washington,1,1024,1234,1234,8,35,134,84,127,291,613,367,0,613,0.008139192999806255,0.7917169030006335,0.7998560960004397,ok,
portfolioqaoa::portfolioqaoa_indep_qiskit_8,portfolioqaoa,data/quantum_circuits/portfolioqaoa_indep_qiskit_8.qasm,2372d3228c3e3e38e3351feb553380bce5a543c936f73a400de0e54ab470599a,FakeWashingtonV2,fake_washington,2,1024,1234,1234,8,35,134,84,127,310,680,296,0,680,0.014281297000707127,0.6932200039991585,0.7075013009998656,ok,
portfolioqaoa::portfolioqaoa_indep_qiskit_8,portfolioqaoa,data/quantum_circuits/portfolioqaoa_indep_qiskit_8.qasm,2372d3228c3e3e38e3351feb553380bce5a543c936f73a400de0e54ab470599a,FakeWashingtonV2,fake_washington,3,1024,1234,1234,8,35,134,84,127,314,687,310,0,687,0.01449342500018247,0.6638757569999143,0.6783691820000968,ok,
portfoliovqe::portfoliovqe_indep_qiskit_8,portfoliovqe,data/quantum_circuits/portfoliovqe_indep_qiskit_8.qasm,eb43007109ad9707544629854cfc7259b0e6aa70c5a618cedacbb7d26dd746a0,FakeWashingtonV2,fake_washington,0,1024,1234,1234,8,34,125,84,127,414,1021,348,0,1021,0.00437358900126128,0.5899145839994162,0.5942881730006775,ok,
portfoliovqe::portfoliovqe_indep_qiskit_8,portfoliovqe,data/quantum_circuits/portfoliovqe_indep_qiskit_8.qasm,eb43007109ad9707544629854cfc7259b0e6aa70c5a618cedacbb7d26dd746a0,FakeWashingtonV2,fake_washington,1,1024,1234,1234,8,34,125,84,127,285,784,297,0,784,0.00909095899987733,0.6659949459990457,0.6750859049989231,ok,
portfoliovqe::portfoliovqe_indep_qiskit_8,portfoliovqe,data/quantum_circuits/portfoliovqe_indep_qiskit_8.qasm,eb43007109ad9707544629854cfc7259b0e6aa70c5a618cedacbb7d26dd746a0,FakeWashingtonV2,fake_washington,2,1024,1234,1234,8,34,125,84,127,292,704,232,0,704,0.012738256999000441,0.5840295839989267,0.5967678409979271,ok,
portfoliovqe::portfoliovqe_indep_qiskit_8,portfoliovqe,data/quantum_circuits/portfoliovqe_indep_qiskit_8.qasm,eb43007109ad9707544629854cfc7259b0e6aa70c5a618cedacbb7d26dd746a0,FakeWashingtonV2,fake_washington,3,1024,1234,1234,8,34,125,84,127,284,707,242,0,707,0.012144570999225834,0.6706645370013575,0.6828091080005834,ok,
qaoa::qaoa_indep_qiskit_8,qaoa,data/quantum_circuits/qaoa_indep_qiskit_8.qasm,0a43c652a1c92c83389d952438c22aa0d890a611333da29499d6ff1733925b21,FakeWashingtonV2,fake_washington,0,1024,1234,1234,8,9,49,16,127,84,218,89,0,218,0.004960296999342972,0.5564975220004271,0.5614578189997701,ok,
