circuit_id,family,source_file,source_sha256,backend_class,optimization_level,shots,logical_width,logical_depth,logical_ops,logical_two_qubit_ops,physical_width,physical_depth,physical_ops,physical_two_qubit_ops,swap_count,dag_node_count,t_transpile_s,t_exec_s,t_total_s,status,error,peak_rss_mb,peak_cpu_single_core_pct,peak_cpu_host_pct,monitor_wall_s,stop_reason,returncode
ae::ae_indep_qiskit_10,ae,data/quantum_circuits/ae_indep_qiskit_10.qasm,78ad3c5b3703b2eab8229c1bb5133f438fc458f489ff650fdca1fff38fe922f2,FakeWashingtonV2,0,1024,10,54,102,54,,,,,,,,,,resource_limit,,16810.48,775.58,27.70,180.757,wall_timeout>180s,-9
ae::ae_indep_qiskit_12,ae,data/quantum_circuits/ae_indep_qiskit_12.qasm,b14a4eaa1efc4b4eb9f8fe643e30a3508ba615ede75614adaefc091cd33c3d76,FakeWashingtonV2,0,1024,12,66,135,77,,,,,,,,,,resource_limit,,16813.48,2787.74,99.56,180.521,wall_timeout>180s,-9
