model,circuit_id,oracle_context,selected_context,oracle_seconds,selected_actual_seconds,selection_regret_seconds,selection_regret_ratio,exact_fastest
analytical_hgb,a5566b367204e19d5a4404ea4b1ea865e0e4a316d23a1767e076f8f846384865,cuda:complex64,cuda:complex64,0.0312515960031305,0.0312515960031305,0.0,1.0,True
analytical_hgb,b260af0ffac0e7ac6f64a614c987a933a23cb0134b2f8cece0253c306ff71d77,cuda:complex64,cuda:complex64,0.0164665580014116,0.0164665580014116,0.0,1.0,True
analytical_hgb,bde1dbbb4222811a01dc00c7a78fa5262be2cfc8204c806b9da4618edd29a57a,cuda:complex64,cuda:complex64,0.0062013499991735,0.0062013499991735,0.0,1.0,True
analytical_hgb,c4cf47ac3f43d31372f1a86711b2c077226abe8e3aaab37aa1662095a6f68ad2,cuda:complex64,cuda:complex64,0.0032700470037525,0.0032700470037525,0.0,1.0,True
analytical_hgb,cd2b1e3bb91c0225a6dac155f2cf6f7b5e0b181c3f7563ef44d94a005b710459,cuda:complex64,cuda:complex64,0.0082482650032034,0.0082482650032034,0.0,1.0,True
analytical_hgb,d6befefea344a4978a37716f6541adf1035651f1bb4942db62d0c611ac3dff85,cuda:complex64,cuda:complex64,0.0032188379991566,0.0032188379991566,0.0,1.0,True
analytical_hgb,d8f30fa1ba3214db0fbb1032b995128470a79c2bdb8edc27276a76dc3827d6bd,cuda:complex64,cuda:complex64,0.0063114369986578,0.0063114369986578,0.0,1.0,True
analytical_hgb,e3379bc3e641d51b6897bb6f1187427bf94ba1f5d010d10d636f54cb253488ec,cuda:complex64,cuda:complex64,0.3385277350025717,0.3385277350025717,0.0,1.0,True
analytical_hgb,f098f0e56633fa972b80e677ef30a3b673e9ececdf3c735015fad7cf6989cca1,cuda:complex64,cuda:complex64,0.0060536270029842,0.0060536270029842,0.0,1.0,True
analytical_hgb,f5ff390d62fab1d2be960abcac614fb6a99a91d67eb096bfd8e1f7eb86a348c2,cuda:complex64,cuda:complex64,0.0031354899983853,0.0031354899983853,0.0,1.0,True
analytical_hgb,f7a1a6dcc6b20c6e80b250ca7f17cbb609a7a11d62bd59145c8f6f22fe7a11cf,cuda:complex64,cuda:complex64,0.0309904329988057,0.0309904329988057,0.0,1.0,True
analytical_hgb,faa4c070f80380a8b74410245dfe6875411fa54f6cc90513a054d20735599d34,cuda:complex64,cuda:complex64,0.0004263139999238,0.0004263139999238,0.0,1.0,True
analytical_hgb,fb51b974b3024cfc9b9bcb9423be522572e9b516c84d65f9731443c8746e2549,cuda:complex64,cuda:complex64,0.0328476059949025,0.0328476059949025,0.0,1.0,True
graph_hgb,0650ce7762f08e9b7715fe3ce4e7d49d7696d08f0971000b6228c068c21e6927,cuda:complex64,cuda:complex64,0.4043753710066085,0.4043753710066085,0.0,1.0,True
graph_hgb,1ca7aad9e53d678b99f24f07cd0b484b49a002589640b66ffc5adfad4f71abcb,cuda:complex64,cuda:complex64,0.0164563299986184,0.0164563299986184,0.0,1.0,True
graph_hgb,26976a7947361a2739daed1d8258172976cba90db21418ae7a5879fc575428fd,cuda:complex64,cuda:complex64,0.1842413040067185,0.1842413040067185,0.0,1.0,True
