split,fold,model,n_train,n_test,mae_log,rmse_log,r2_log,mae_seconds,rmse_seconds,r2_seconds
random_row,42,median_log,153,51,2.5903863095501536,2.9430677456777157,-0.014345905121701419,3.8846957789997654,9.458994796621086,-0.18770958106315772
random_row,42,analytical_calibrated_ridge,153,51,0.4310998352267266,0.5725375515374502,0.9616121742409466,1.2326831604353032,3.097860968181231,0.8726074202771628
random_row,42,analytical_hgb,153,51,0.1986404172747471,0.32733838803915266,0.987451857531803,0.8010998265893639,3.101769133719923,0.872285788451473
random_row,42,logical_hgb,153,51,0.21017745926032502,0.31010001169411905,0.9887386844651006,1.0945279345335313,3.835215375379537,0.8047460617521254
random_row,42,graph_hgb,153,51,0.19486224214485162,0.2873676382433223,0.9903292249920717,1.2350305676594489,4.407126972323482,0.7421712086311698
random_row,42,graph_hgb_with_family,153,51,0.19919779525463613,0.28703483324743484,0.9903516117755583,1.239851978326417,4.405149426054907,0.7424025402785581
random_row,42,structural_ridge,153,51,0.43306219855111616,0.5871901830818214,0.9596221551884939,1.1106203218985782,2.7642497288495163,0.8985680352112297
circuit_group,1,median_log,163,41,2.7451963555510437,3.1300504469454906,-0.023421832412389376,3.599686568951456,10.229414702778435,-0.125412533794943
circuit_group,1,analytical_calibrated_ridge,163,41,0.40081060474518765,0.5056236038907251,0.9732941329387984,0.9614824351129185,2.5721466224686047,0.9288456231150685
circuit_group,1,analytical_hgb,163,41,0.3223359378116885,0.5809762297362799,0.9647411022882321,1.0800781547972873,4.668540481651944,0.765591997059209
circuit_group,1,logical_hgb,163,41,0.2841828633056628,0.4881986957603729,0.9751031024098253,1.0041464830664644,4.052304089391949,0.8233904302218437
circuit_group,1,graph_hgb,163,41,0.3173495748580588,0.5097431438431487,0.9728571910729352,1.3362362977532198,5.112213263576543,0.7189211924444439
circuit_group,1,graph_hgb_with_family,163,41,0.3149923837652149,0.5094947791362818,0.9728836344829608,1.3235285859710957,5.117650157589617,0.7183230138343291
circuit_group,1,structural_ridge,163,41,0.45542575707795235,0.5872749055058206,0.9639724366483347,0.8608651215955803,2.067478398624352,0.9540281333568263
circuit_group,2,median_log,163,41,2.5457939168656787,2.930398314153207,-0.48724041826708775,1.2741618899264013,3.4206814565030883,-0.0706559148569661
circuit_group,2,analytical_calibrated_ridge,163,41,0.4394133490912167,0.6033905054132572,0.936944233080719,0.20279176273842783,0.6992704481032747,0.9552580401546247
circuit_group,2,analytical_hgb,163,41,0.3301726333600842,0.6156641105608859,0.9343529003605271,0.1725330227733366,0.6566545097631024,0.9605453208110839
circuit_group,2,logical_hgb,163,41,0.21203545398161877,0.38437568256358046,0.974411803529287,0.11994102392132633,0.48317065668318204,0.978638794567155
circuit_group,2,graph_hgb,163,41,0.2094630160171515,0.3796519048195281,0.9750368702309722,0.15560636066192476,0.5747311483547879,0.9697758480579957
circuit_group,2,graph_hgb_with_family,163,41,0.20672150472317302,0.377338066887897,0.9753402250724117,0.15629126784469996,0.611598213607798,0.9657739271519648
circuit_group,2,structural_ridge,163,41,0.4719207685561802,0.6348782908017864,0.9301914171195099,0.15059237052216864,0.4562483243636218,0.9809529720606521
circuit_group,3,median_log,163,41,2.4384020837428544,2.7466387200865805,-0.021686868568088657,2.331346871853251,4.2318694531710355,-0.3778945756444323
circuit_group,3,analytical_calibrated_ridge,163,41,0.4188336761065088,0.5212612403360715,0.9632018825279394,0.7808587941653962,1.5690796575098571,0.8105731878449829
circuit_group,3,analytical_hgb,163,41,0.25203757923740716,0.346268986193799,0.9837616489441445,0.8516917878888677,1.8550250435010525,0.7352408239285215
circuit_group,3,logical_hgb,163,41,0.17972216861050444,0.2796711599397262,0.9894072163401768,0.5853690827640871,1.2639872583238434,0.8770759505240743
circuit_group,3,graph_hgb,163,41,0.16609268653537074,0.24697146353892332,0.9917394629009901,0.5781743297907698,1.2539193668370652,0.8790263771329777
circuit_group,3,graph_hgb_with_family,163,41,0.16643781356089593,0.24449335461673927,0.9919044034974202,0.5461140031397875,1.1825797214993985,0.8923999874904627
circuit_group,3,structural_ridge,163,41,0.508286450619148,0.6365495269908753,0.9451244185676723,0.9145045252562686,1.8982938822293027,0.7227456537645502
circuit_group,4,median_log,163,41,2.438564082749373,2.897205896188877,-0.20945001988507594,3.9678526661721154,9.868746343363808,-0.1868748274522012
circuit_group,4,analytical_calibrated_ridge,163,41,0.4357066957798805,0.5352757694716604,0.9587157523888994,1.3023176495240887,3.3908539755153515,0.8598803249985646
