status,source,runtime_semantics,target_name,observation_unit,family,circuit_variant,num_qubits,logical_depth,logical_total_gate_count,logical_two_qubit_gate_count,circuit_seed,candidate_plan,candidate_plan_source,operand_count,memory_limit,precision,path_optimization_s,pre_run_runtime_est_s,pre_run_flop_count,pre_run_largest_intermediate_elements,pre_run_num_slices,first_contract_gpu_s,contract_gpu_median_s,contract_gpu_min_s,contract_gpu_max_s,scalar_real,scalar_imag,gpu_name,gpu_compute_capability
ok,cutensornet,T_sim_contract: local GPU tensor-network scalar contraction,contract_gpu_median_s,one fixed tensor network under one explicit candidate contraction plan,ghz,chain,10,10,10,9,42,random_path_2,explicit deterministic einsum path,30,50%,complex64,0.003338514999995823,,20796.0,1024.0,1,0.0003237760066986084,8.019199967384338e-05,7.916799932718277e-05,8.476799726486206e-05,0.7071067690849304,0.0,NVIDIA GeForce RTX 5070 Ti,12.0
ok,cutensornet,T_sim_contract: local GPU tensor-network scalar contraction,contract_gpu_median_s,one fixed tensor network under one explicit candidate contraction plan,ghz,chain,10,10,10,9,42,random_path_3,explicit deterministic einsum path,30,50%,complex64,0.002821306999976514,,4356.0,256.0,1,0.0002199680060148239,7.423999905586243e-05,6.97920024394989e-05,7.615999877452851e-05,0.7071067690849304,0.0,NVIDIA GeForce RTX 5070 Ti,12.0
ok,cutensornet,T_sim_contract: local GPU tensor-network scalar contraction,contract_gpu_median_s,one fixed tensor network under one explicit candidate contraction plan,ghz,chain,12,12,12,11,42,native_time_tuned,cuTensorNet TIME_TUNED,36,50%,complex64,0.004991040999811958,0.00035000175825,628.0,8.0,1,0.00022595199942588806,8.214399963617325e-05,7.952000200748444e-05,9.062399715185165e-05,0.7071067690849304,0.0,NVIDIA GeForce RTX 5070 Ti,12.0
ok,cutensornet,T_sim_contract: local GPU tensor-network scalar contraction,contract_gpu_median_s,one fixed tensor network under one explicit candidate contraction plan,ghz,chain,12,12,12,11,42,left_fold,explicit deterministic einsum path,36,50%,complex64,0.006931425999937346,,71322576.0,1048576.0,1,0.0007104960083961487,0.00016892799735069276,0.00016790400445461273,0.00017692799866199493,0.7071067690849304,0.0,NVIDIA GeForce RTX 5070 Ti,12.0
ok,cutensornet,T_sim_contract: local GPU tensor-network scalar contraction,contract_gpu_median_s,one fixed tensor network under one explicit candidate contraction plan,ghz,chain,12,12,12,11,42,right_fold,explicit deterministic einsum path,36,50%,complex64,0.0035775710002781125,,401400.0,4096.0,1,0.00024275200068950653,0.00010035199671983719,9.843199700117111e-05,0.00010537599772214889,0.7071067690849304,0.0,NVIDIA GeForce RTX 5070 Ti,12.0
ok,cutensornet,T_sim_contract: local GPU tensor-network scalar contraction,contract_gpu_median_s,one fixed tensor network under one explicit candidate contraction plan,ghz,chain,12,12,12,11,42,random_path_0,explicit deterministic einsum path,36,50%,complex64,0.0037232450004012208,,10668.0,1024.0,1,0.00023398399353027343,8.767999708652496e-05,8.604799956083297e-05,9.353599697351456e-05,0.7071067690849304,0.0,NVIDIA GeForce RTX 5070 Ti,12.0
ok,cutensornet,T_sim_contract: local GPU tensor-network scalar contraction,contract_gpu_median_s,one fixed tensor network under one explicit candidate contraction plan,ghz,chain,12,12,12,11,42,random_path_1,explicit deterministic einsum path,36,50%,complex64,0.0032219059994531563,,1476.0,64.0,1,0.0002155199944972992,8.150400221347808e-05,8.076799660921096e-05,9.097599983215332e-05,0.7071067690849304,0.0,NVIDIA GeForce RTX 5070 Ti,12.0
ok,cutensornet,T_sim_contract: local GPU tensor-network scalar contraction,contract_gpu_median_s,one fixed tensor network under one explicit candidate contraction plan,ghz,chain,12,12,12,11,42,random_path_2,explicit deterministic einsum path,36,50%,complex64,0.0032433159994980088,,1876.0,64.0,1,0.00021897600591182708,8.240000158548355e-05,7.977599650621414e-05,8.684799820184707e-05,0.7071067690849304,0.0,NVIDIA GeForce RTX 5070 Ti,12.0
ok,cutensornet,T_sim_contract: local GPU tensor-network scalar contraction,contract_gpu_median_s,one fixed tensor network under one explicit candidate contraction plan,ghz,chain,12,12,12,11,42,random_path_3,explicit deterministic einsum path,36,50%,complex64,0.003217699999368051,,1684.0,64.0,1,0.00022844800353050233,8.303999900817871e-05,8.025600016117096e-05,8.726400136947632e-05,0.7071067690849304,0.0,NVIDIA GeForce RTX 5070 Ti,12.0
ok,cutensornet,T_sim_contract: local GPU tensor-network scalar contraction,contract_gpu_median_s,one fixed tensor network under one explicit candidate contraction plan,hea,layers_4,8,12,78,14,42,native_time_tuned,cuTensorNet TIME_TUNED,94,50%,complex64,0.012429483999767399,0.00093000619125,2968.0,16.0,1,0.00036931198835372925,0.0001919039934873581,0.00018812799453735352,0.00019417600333690644,-0.020059658214449883,0.007279788143932819,NVIDIA GeForce RTX 5070 Ti,12.0
